N	3gram	Vinokur_St	Vvedenie
1	и т д	25	39
2	для того чтобы	13	22
3	в том что	29	15
4	о том что	19	13
5	в этом смысле	2	10
6	но также и	5	10
7	не может быть	5	10
8	тем не менее	4	9
9	до сих пор	12	7
10	мере в какой	3	6
11	в применении к	3	6
12	в то же	5	6
13	в этом случае	3	6
14	в той мере	2	6
15	в самом деле	7	6
16	то же время	5	6
17	той мере в	2	6
18	вопрос о том	4	5
19	во всяком случае	8	5
20	т д но	4	5
21	на этот вопрос	2	5
22	и т п	11	5
23	с другой стороны	8	5
24	по крайней мере	2	4
25	не только в	4	4
26	на вопрос о	3	4
27	и в том	3	4
28	в данном случае	7	4
29	так или иначе	3	4
30	т е в	3	4
31	в этом отношении	13	4
32	и в этом	4	4
33	в прямом смысле	2	4
34	но все же	3	4
35	с одной стороны	2	4
36	по отношению к	3	4
37	с точки зрения	10	4
38	можно было бы	8	4
39	вместе с тем	2	3
40	заключается в том	4	3
41	в том отношении	4	3
42	по этому поводу	4	3
43	том отношении что	2	3
44	в зависимости от	2	3
45	и в самом	3	3
46	в свое время	3	3
47	дело в том	7	3
48	и то что	2	3
49	но в то	2	3
50	чтобы можно было	2	2
51	тем или иным	3	2
52	ответ на вопрос	2	2
53	всяком случае не	2	2
54	что же касается	3	2
55	а также и	2	2
56	вовсе не только	2	2
57	сомнений в том	2	2
58	не в том	3	2
59	в конце концов	2	2
60	в данном отношении	6	2
61	вовсе не в	2	2
62	а между тем	2	2
63	по меньшей мере	3	2
64	точно так же	2	2
65	только в том	3	2
66	обратить внимание на	3	2
67	что в нем	2	2
68	не говоря уже	2	2
69	может быть и	2	2
70	после того как	5	2
71	хотя бы и	2	2
72	т е не	2	2
73	не до конца	2	2
74	жизни и творчества	2	2
