N	3gram	Propp_Isto	Vvedenie
1	и т д	35	39
2	в том что	6	15
3	о том что	5	13
4	не может быть	8	10
5	тем не менее	7	9
6	до сих пор	11	7
7	в этом случае	3	6
8	вопрос о том	2	5
9	не что иное	3	5
10	т д но	2	5
11	что иное как	3	5
12	на этот вопрос	2	5
13	с другой стороны	7	5
14	не только в	5	4
15	само по себе	2	4
16	но все же	7	4
17	с одной стороны	7	4
18	по отношению к	6	4
19	в отличие от	3	4
20	можно было бы	5	4
21	вместе с тем	7	3
22	то же самое	3	3
23	по этому поводу	2	3
24	большей или меньшей	2	3
25	есть не что	2	3
26	в зависимости от	3	3
27	и тем не	2	3
28	в конечном итоге	2	3
29	с тем что	3	3
30	дело в том	3	3
31	т д все	3	2
32	мы уже знаем	3	2
33	подобно тому как	3	2
34	как будто бы	2	2
35	в этих случаях	10	2
36	точно так же	8	2
37	потому что он	2	2
38	в другом месте	2	2
39	до наших дней	2	2
40	после того как	2	2
41	в связи с	5	2
42	влечет за собой	2	2
43	же самое что	2	2
