N	2gram	Propp_Isto	NovoeSre
1	а не	5	17
2	и в	44	16
3	не может	10	16
4	и не	19	11
5	и есть	3	10
6	что в	18	9
7	жизни и	4	8
8	в том	13	8
9	он не	5	8
10	может быть	31	7
11	как и	12	7
12	в этом	20	7
13	никогда не	5	6
14	лишь в	2	6
15	ни в	2	6
16	не в	11	6
17	но это	10	6
18	с его	3	6
19	не только	17	5
20	должен быть	2	5
21	все это	4	5
22	в нем	10	5
23	в ней	8	5
24	и к	3	5
25	в них	3	4
26	и для	3	4
27	не имеет	4	4
28	прежде всего	7	4
29	не менее	6	4
30	не было	2	4
31	и потому	2	4
32	и мы	3	4
33	то что	16	4
34	о том	11	4
35	это не	8	4
36	потому что	18	4
37	и все	4	4
38	значит что	2	4
39	тому как	2	3
40	но и	16	3
41	подобно тому	2	3
42	в наше	2	3
43	с другой	11	3
44	в ее	4	3
45	она не	7	3
46	и пр	6	3
47	в своей	3	3
48	еще не	16	3
49	к ним	2	3
50	в истории	7	3
51	человека и	2	3
52	перейти к	2	3
53	должна быть	3	3
54	как в	11	3
55	сказать что	2	3
56	во всех	3	3
57	в наши	2	3
58	вопрос о	5	3
59	это было	2	3
60	наряду с	7	3
61	в основе	3	3
62	с тем	9	3
63	время как	3	2
64	зависит от	4	2
65	что она	3	2
66	как будто	2	2
67	и с	8	2
68	одна из	6	2
69	том чтобы	3	2
70	формы и	3	2
71	для этого	3	2
72	себя в	6	2
73	но не	8	2
74	что все	4	2
75	думать что	2	2
76	мира а	2	2
77	роль в	3	2
78	того чтобы	3	2
79	и это	5	2
80	хотя бы	2	2
81	же как	12	2
82	а в	9	2
83	но в	7	2
84	том что	12	2
85	и на	11	2
86	с этим	7	2
87	есть в	2	2
88	и что	13	2
89	ли это	2	2
90	все эти	11	2
91	мы не	6	2
92	вот почему	2	2
93	не имеют	2	2
94	это и	3	2
95	связаны с	3	2
96	мира и	2	2
97	у него	7	2
98	не знал	2	2
99	центр тяжести	2	2
100	уже не	14	2
101	по существу	2	2
102	для чего	2	2
103	как это	5	2
104	другой стороны	10	2
105	так же	14	2
106	так и	9	2
107	такого рода	2	2
108	могут быть	9	2
109	силы и	2	2
110	но для	4	2
111	одной стороны	7	2
112	такой же	3	2
113	в то	5	2
114	должно было	3	2
115	с одной	7	2
116	и даже	4	2
117	хозяйственной жизни	2	2
118	вместе с	26	2
