N	3gram	Tiupa_Narr	slovoVRo
1	и т п	2	72
2	не может быть	6	19
3	в то же	7	18
4	то же время	7	18
5	той или иной	6	15
6	с точки зрения	2	15
7	в отличие от	6	14
8	с одной стороны	5	11
9	более или менее	2	9
10	во всяком случае	2	8
11	в зависимости от	3	8
12	и в то	2	6
13	чужого слова в	2	5
14	в том что	11	5
15	в этом отношении	5	5
16	не только в	12	5
17	по отношению к	5	5
18	своего и чужого	2	4
19	для того чтобы	4	4
20	с установкой на	2	4
21	и не может	3	4
22	до сих пор	3	4
23	можно сказать что	5	4
24	в свою очередь	2	4
25	одно и то	2	3
26	к тому что	4	3
27	и то же	2	3
28	в данном случае	12	3
29	в связи с	3	3
30	того или иного	3	3
31	как если бы	2	3
32	не только на	2	2
33	не только не	2	2
34	существенную роль в	3	2
35	в первом случае	3	2
36	в нем не	2	2
37	о том что	3	2
38	здесь не только	2	2
39	хотя и не	2	2
40	в известном смысле	4	2
41	но и в	4	2
42	и чужого слова	2	2
43	тем не менее	6	2
44	друг для друга	2	2
