N	3gram	Vinokur_Vv	Tvorches
1	в то же	6	25
2	то же время	6	24
3	и т д	39	17
4	в том что	15	11
5	в соответствии с	2	8
6	о том что	13	8
7	но в то	3	6
8	не может быть	10	6
9	и т п	5	5
10	по отношению к	4	5
11	в самом деле	6	5
12	по крайней мере	4	4
13	с точки зрения	4	4
14	до сих пор	7	4
15	дело в том	3	4
16	точно так же	2	3
17	в известной мере	2	3
18	с другой стороны	5	3
19	во всяком случае	5	3
20	в отличие от	4	3
21	по самой своей	2	2
22	тем не менее	9	2
23	на этот вопрос	5	2
24	потому что он	2	2
25	не только в	4	2
26	для того чтобы	22	2
27	можно сказать что	3	2
28	в связи с	2	2
29	не могут быть	2	2
30	вместе с тем	3	2
31	заключается в том	3	2
32	в конце концов	2	2
33	в известном смысле	3	2
34	в данном случае	4	2
35	именно в этом	3	2
36	влечет за собой	2	2
37	и в самом	3	2
38	в свою очередь	2	2
