N	3gram	Losev_Dial	VLabPisa
1	и т д	28	16
2	в этом отношении	2	14
3	и т п	3	9
4	с другой стороны	7	8
5	не может быть	4	8
6	более или менее	5	6
7	в то же	7	5
8	в том что	12	5
9	то же время	8	5
10	в зависимости от	2	5
11	не было бы	2	4
12	к тому что	3	4
13	можно сказать что	6	4
14	в связи с	3	4
15	бы и не	2	3
16	и в то	3	3
17	о том что	6	3
18	та или иная	4	3
19	это и есть	3	3
20	по крайней мере	11	2
21	в конце концов	4	2
22	с одной стороны	3	2
23	во всяком случае	3	2
24	одной стороны и	3	2
25	только то что	6	2
26	т е в	3	2
27	не только в	2	2
28	до сих пор	4	2
29	не в том	2	2
30	иметь в виду	4	2
31	можно было бы	4	2
32	не рождается из	2	2
