N	3gram	Bakhtin_sl	Analitik
1	в том что	4	25
2	не может быть	11	19
3	по отношению к	2	18
4	в то же	15	16
5	о том что	2	15
6	той или иной	13	14
7	в данном случае	3	14
8	то же время	15	14
9	в отличие от	12	14
10	с одной стороны	7	9
11	с другой стороны	5	9
12	того или иного	2	9
13	в свою очередь	3	9
14	в этом отношении	2	8
15	не только в	3	8
16	как и в	2	8
17	с точки зрения	11	8
18	во всяком случае	7	7
19	тем не менее	2	6
20	но и в	2	5
21	в этом случае	4	5
22	не только не	2	5
23	в той или	12	5
24	до известной степени	3	4
25	большей или меньшей	5	4
26	и в этом	2	4
27	в известном смысле	2	4
28	и не может	2	4
29	в значительной степени	6	4
30	сама по себе	2	4
31	и т п	49	3
32	в первом случае	2	3
33	дело не с	2	3
34	хотя бы и	5	3
35	не могут быть	3	3
36	в связи с	2	3
37	включает в себя	3	3
38	в зависимости от	4	3
39	одно и то	2	2
40	и то же	2	2
41	иметь дело с	2	2
42	более или менее	5	2
43	но в то	6	2
44	можно было бы	2	2
45	к тому что	2	2
46	от автора и	2	2
47	друг с другом	2	2
48	в том и	2	2
49	они могут быть	6	2
50	до сих пор	4	2
51	а между тем	2	2
52	и в сущности	4	2
53	в широком смысле	3	2
