N	2gram	Medvedev_S	DiskursI
1	может быть	2	56
2	не только	3	49
3	и в	3	49
4	в том	5	44
5	том что	2	40
6	в этом	5	38
7	в частности	2	36
8	но и	2	35
9	еще не	2	23
10	далеко не	2	18
11	по отношению	2	17
12	то же	2	17
13	отношению к	2	17
14	только в	2	16
15	в его	3	15
16	то что	2	15
17	не в	3	14
18	как бы	2	13
19	что в	2	11
20	по природе	2	11
21	таким образом	2	7
22	как будто	2	5
23	за пределы	2	5
24	более чем	3	4
25	в результате	2	4
26	к которому	2	3
27	это и	2	3
28	было бы	2	3
29	дело не	2	3
30	должна быть	2	3
31	или даже	2	3
32	и что	2	3
33	очевидно что	2	2
34	по существу	2	2
35	все это	7	2
36	тем более	2	2
37	о литературе	3	2
38	в литературоведении	2	2
39	и только	3	2
