N	2gram	Losev_Dial	VelikijI
1	и не	51	20
2	и в	35	16
3	так как	24	9
4	то что	25	9
5	к богу	3	8
6	еще не	4	8
7	от бога	3	8
8	и потому	6	7
9	на земле	3	7
10	что они	8	7
11	а не	24	7
12	не есть	67	6
13	человека и	2	6
14	в мире	3	5
15	как бы	19	5
16	но и	17	5
17	все это	14	5
18	хотя и	4	5
19	что есть	2	5
20	того что	6	5
21	это еще	2	4
22	что все	2	4
23	и все	11	4
24	как и	10	4
25	в котором	5	4
26	потому что	23	4
27	все что	2	4
28	в нем	25	4
29	в ней	4	4
30	что не	13	4
31	во мне	5	4
32	что мы	3	4
33	и я	3	4
34	в его	4	4
35	говорить о	9	4
36	в этом	18	4
37	что он	16	4
38	и есть	20	4
39	так и	18	4
40	никогда не	18	3
41	превращается в	2	3
42	в жизни	3	3
43	что в	19	3
44	в том	20	3
45	и для	2	3
46	от этого	5	3
47	не имеет	15	3
48	тому что	4	3
49	но в	8	3
50	к тому	6	3
51	ни в	20	3
52	их в	2	3
53	то это	6	3
54	но это	12	3
55	бы и	4	3
56	должно быть	7	3
57	оно не	2	3
58	хотя бы	6	3
59	в своей	9	3
60	во всех	3	3
61	личности и	2	3
62	в конце	5	3
63	в них	4	3
64	жизни и	9	3
65	как не	4	3
66	что и	7	3
67	и мы	8	3
68	не было	7	3
69	и что	17	3
70	не в	12	3
71	все эти	4	3
72	в этих	6	3
73	что я	5	3
74	должна быть	5	3
75	и они	3	3
76	в чем	9	3
77	и то	15	2
78	с тем	2	2
79	да и	11	2
80	но не	9	2
81	нет и	2	2
82	что их	2	2
83	тот кто	2	2
84	и это	6	2
85	это не	18	2
86	ее в	2	2
87	не только	26	2
88	не могут	4	2
89	а в	8	2
90	том что	18	2
91	но мы	3	2
92	от него	4	2
93	во всяком	5	2
94	и тогда	4	2
95	есть уже	2	2
96	вслед за	2	2
97	уже не	3	2
98	нем нет	3	2
99	могут быть	6	2
100	когда я	2	2
101	не к	2	2
102	которые не	2	2
103	нет еще	3	2
104	один из	3	2
105	т д	28	2
106	не будет	2	2
107	тем что	2	2
108	конечно не	9	2
109	можно было	5	2
110	это все	2	2
111	в личности	4	2
112	только в	7	2
113	раз навсегда	2	2
114	а есть	4	2
115	все равно	7	2
116	прежде всего	14	2
117	и т	31	2
118	с ним	9	2
119	его не	7	2
120	это мы	6	2
121	между тем	3	2
122	мы и	3	2
123	а с	2	2
124	личность как	2	2
125	для него	2	2
126	не с	5	2
