N	3gram	Losev_Prob	StatiiOP
1	в том что	13	47
2	о том что	14	29
3	в этом отношении	4	24
4	для того чтобы	3	19
5	до сих пор	3	19
6	с точки зрения	13	14
7	во всяком случае	6	13
8	с другой стороны	7	13
9	не может быть	2	11
10	в то же	2	9
11	на то что	2	9
12	можно было бы	2	9
13	вместе с тем	5	9
14	дело в том	4	9
15	на самом деле	2	8
16	тем не менее	8	8
17	не только в	5	8
18	том что он	3	7
19	в своей трагедии	3	7
20	в данном случае	5	7
21	по этому поводу	4	7
22	в конце концов	7	7
23	в то время	4	7
24	но все же	2	7
25	по крайней мере	8	6
26	по отношению к	2	6
27	в том смысле	2	6
28	в этом смысле	4	6
29	за то что	2	5
30	после того как	3	5
31	с самого начала	3	5
32	обратить внимание на	4	5
33	то время как	4	5
34	но и в	2	5
35	то что в	2	5
36	в том чтобы	2	5
37	в это время	3	4
38	в предисловии к	2	4
39	ничего общего с	2	4
40	на эту тему	2	4
41	в связи с	11	4
42	с одной стороны	5	4
43	так или иначе	3	4
44	того или иного	2	4
45	бы то ни	4	3
46	в русской литературе	3	3
47	можно сказать что	4	3
48	говоря уже о	2	3
49	не имеет ничего	2	3
50	в том числе	2	3
51	имеет ничего общего	2	3
52	только в том	2	3
53	не говоря уже	2	3
54	и не в	2	3
55	в этой трагедии	4	3
56	к тому же	5	3
57	а с другой	3	3
58	потому что он	2	3
59	и в стихотворении	2	2
60	то же самое	2	2
61	сам по себе	3	2
62	но в то	2	2
63	только тогда когда	3	2
64	у меня в	2	2
65	а также и	3	2
66	той или иной	4	2
67	то ни было	2	2
68	в настоящее время	7	2
69	точно так же	4	2
70	только в виде	2	2
71	и вместе с	3	2
72	хотя бы на	2	2
73	и то что	3	2
74	в свою очередь	2	2
75	в той или	2	2
