N	2gram	Vygotskiy_	EvropaiC
1	таким образом	21	34
2	в том	46	31
3	и в	65	24
4	том что	28	20
5	все эти	7	19
6	не может	17	18
7	то что	61	18
8	может быть	33	17
9	до сих	7	15
10	все же	10	15
11	сих пор	6	15
12	точки зрения	19	14
13	в этом	37	13
14	все это	12	13
15	в своем	8	12
16	с этим	11	12
17	самом деле	33	12
18	между тем	10	12
19	но и	6	11
20	не только	16	10
21	так и	3	10
22	во всех	4	10
23	мы знаем	3	10
24	как и	12	10
25	все что	2	10
26	как бы	29	10
27	из себя	3	10
28	в результате	3	9
29	друг с	2	9
30	и не	20	9
31	не в	12	9
32	что в	36	9
33	и все	14	9
34	на то	25	9
35	с другом	2	9
36	того же	4	9
37	потому что	26	9
38	при этом	10	9
39	и что	29	9
40	так же	12	8
41	из этих	6	8
42	если бы	22	8
43	для того	18	8
44	к тому	18	8
45	в самом	41	8
46	знаем что	4	8
47	того чтобы	21	8
48	с точки	11	8
49	мы говорили	3	8
50	ясно что	11	8
51	на самом	3	7
52	для этого	9	7
53	о которых	10	7
54	так как	13	7
55	в силу	2	7
56	что он	23	7
57	того что	9	7
58	о котором	5	7
59	о том	17	7
60	из этого	10	7
61	что и	7	7
62	в этой	20	7
63	по существу	4	7
64	что при	5	7
65	вместе с	10	7
66	в мире	3	6
67	отличается от	2	6
68	только в	9	6
69	все они	3	6
70	у них	2	6
71	еще не	3	6
72	так что	10	6
73	что касается	2	6
74	в то	5	6
75	должна быть	5	6
76	и для	4	6
77	с другой	8	6
78	в общем	4	6
79	и если	13	6
80	и на	7	6
81	мы можем	12	6
82	несмотря на	7	6
83	что с	4	6
84	при чем	2	6
85	как на	9	6
86	тому же	2	6
87	с ним	6	6
88	его в	5	5
89	но все	2	5
90	в себе	9	5
91	к этому	5	5
92	оказывается что	2	5
93	в которой	8	5
94	случае если	4	5
95	как к	6	5
96	на все	2	5
97	и их	2	5
98	ничем не	3	5
99	из них	10	5
100	что это	19	5
101	из всех	3	5
102	представляет из	2	5
103	по своему	6	5
104	у него	6	5
105	что все	10	5
106	далеко не	3	5
107	но в	5	5
108	столь же	5	5
109	именно в	3	5
110	или иначе	2	5
111	и без	2	5
112	и с	4	5
113	и к	5	5
114	другой стороны	5	5
115	в целом	8	5
116	не будет	2	5
117	между двумя	3	5
118	в его	11	5
119	как будто	13	5
120	никогда не	9	4
121	в одну	2	4
122	и то	10	4
123	тот факт	3	4
124	в такой	5	4
125	не могут	2	4
126	мы должны	3	4
127	что эта	8	4
128	что та	2	4
129	всех этих	2	4
130	хотя бы	3	4
131	прямой линии	3	4
132	в конце	5	4
133	которых мы	6	4
134	отношение к	2	4
135	целый ряд	6	4
136	иначе говоря	10	4
137	факт что	3	4
138	та же	6	4
139	то же	17	4
140	в их	3	4
141	а с	4	4
142	одним из	2	4
143	в виде	5	4
144	совершенно не	8	4
145	что его	3	4
146	в течение	5	4
147	между собой	2	4
148	что для	6	4
149	с тем	14	4
150	не так	4	4
151	и сейчас	2	4
152	все прочие	2	4
153	из которых	6	4
154	в европейской	2	4
155	что мы	6	4
156	том случае	4	4
157	связи с	2	4
158	что как	4	4
159	в таком	6	4
160	он не	11	4
161	это есть	3	4
162	если мы	19	4
163	признать что	2	4
164	мы уже	12	4
165	даже в	2	3
166	данном случае	5	3
167	тем самым	4	3
168	при помощи	7	3
169	это не	7	3
170	что если	6	3
171	что по	3	3
172	и до	4	3
173	от него	2	3
174	тем более	2	3
175	в тех	5	3
176	каждый из	3	3
177	бы в	3	3
178	которые не	2	3
179	только что	10	3
180	очевидно что	4	3
181	с этой	5	3
182	в этих	3	3
183	конечно не	6	3
184	и других	5	3
185	и наконец	2	3
186	одного и	2	3
187	как у	2	3
188	не надо	2	3
189	у нас	4	3
190	но по	2	3
191	этой истории	2	3
192	прежде всего	2	3
193	жизнь и	2	3
194	с одной	7	3
195	как известно	2	3
196	что только	3	3
197	одно из	4	3
198	в жизни	6	3
199	но не	3	3
200	и это	13	3
201	в данном	5	3
202	а в	9	3
203	может служить	8	3
204	в нем	8	3
205	указывают на	2	3
206	в ней	23	3
207	что оно	5	3
208	тогда когда	2	3
209	не то	7	3
210	для нас	14	3
211	в сторону	2	3
212	можно назвать	2	3
213	по одному	2	3
214	сейчас же	9	3
215	было бы	22	3
216	и по	2	3
217	и может	5	3
218	на нас	5	3
219	ничего общего	3	3
220	в истории	3	3
221	только одно	3	3
222	во всем	2	3
223	если же	3	3
224	в совершенно	3	3
225	же как	3	3
226	заключается в	13	3
227	тот же	5	3
228	как мы	12	3
229	мы будем	4	3
230	образом и	3	2
231	он все	4	2
232	конечно в	3	2
233	все дело	2	2
234	одна из	6	2
235	все то	15	2
236	мы все	6	2
237	с которыми	2	2
238	не от	2	2
239	то и	3	2
240	независимо от	2	2
241	только то	3	2
242	но как	3	2
243	из этой	2	2
244	а к	2	2
245	что под	4	2
246	к ним	3	2
247	и ее	4	2
248	есть только	3	2
249	то время	4	2
250	и поэтому	3	2
251	что она	34	2
252	этими двумя	2	2
253	при таком	4	2
254	то есть	30	2
255	в другом	6	2
256	из нее	3	2
257	свою очередь	3	2
258	но если	6	2
