N	3gram	Potebnia_M	Dialekti
1	и т д	5	75
2	с точки зрения	2	46
3	по крайней мере	8	26
4	сама по себе	3	26
5	в том что	22	25
6	не есть ни	4	24
7	не может быть	7	18
8	само по себе	6	16
9	тем не менее	7	16
10	сам по себе	9	16
11	то же время	8	15
12	в то же	8	14
13	в таком случае	2	14
14	только тогда когда	11	13
15	одно и то	7	12
16	и то же	7	12
17	о том что	5	12
18	с другой стороны	4	12
19	на то что	3	11
20	и стало быть	2	11
21	есть то что	2	11
22	по себе не	2	9
23	подобно тому как	3	9
24	или по крайней	2	8
25	одна и та	2	8
26	не только не	4	8
27	и та же	2	8
28	в то время	7	8
29	в этом смысле	2	8
30	то время как	3	8
31	можно сказать что	3	7
32	сами по себе	3	7
33	не в том	6	7
34	более или менее	6	6
35	для того чтобы	5	6
36	то что мы	3	6
37	во всяком случае	3	6
38	с одной стороны	4	6
39	только потому что	5	6
40	то и другое	3	5
41	на самом деле	4	5
42	есть прежде всего	2	5
43	от того что	7	5
44	до сих пор	4	5
45	одной и той	4	5
46	и той же	4	5
47	к тому что	3	5
48	в том смысле	6	5
49	потому что он	3	5
50	то же самое	3	4
51	и то и	2	4
52	как бы ни	4	4
53	может быть только	4	4
54	в данном случае	3	4
55	и т п	7	4
56	того и другого	2	4
57	и может быть	2	4
58	по себе а	4	4
59	в этом отношении	2	4
60	том смысле что	2	4
61	не могут быть	3	4
62	равно как и	2	4
63	и как бы	2	3
64	с этой стороны	2	3
65	то что я	2	3
66	так что в	2	3
67	как и в	3	3
68	нельзя сказать что	2	3
69	не только в	4	3
70	не было бы	2	3
71	то же что	5	3
72	что оно не	2	2
73	что он не	3	2
74	но так как	2	2
75	мы не можем	5	2
76	что если бы	3	2
77	потому что и	3	2
78	лишь тогда когда	4	2
79	в себе не	2	2
80	тогда когда оно	2	2
81	но никак не	2	2
82	друг от друга	2	2
83	то тем самым	3	2
84	в собственном смысле	2	2
85	не в состоянии	4	2
86	что и в	4	2
87	потому что мы	3	2
88	и в том	3	2
89	в одно время	3	2
90	в свою очередь	6	2
91	и то что	3	2
