N	2gram	Medvedev_F	Freidism
1	и не	34	34
2	таким образом	28	34
3	точки зрения	21	31
4	не может	26	30
5	и пр	30	29
6	может быть	30	28
7	и в	54	28
8	в этом	39	28
9	прежде всего	34	26
10	в его	30	25
11	и его	27	22
12	с помощью	13	20
13	как бы	10	19
14	как мы	10	18
15	то что	14	17
16	вовсе не	18	16
17	так как	4	15
18	точка зрения	3	15
19	с точки	17	15
20	все эти	12	15
21	самом деле	12	14
22	так и	24	14
23	в своей	16	14
24	с ним	3	14
25	во всех	9	13
26	и все	9	13
27	в душе	2	13
28	но в	9	13
29	как и	18	13
30	по отношению	4	13
31	и потому	9	12
32	том что	3	12
33	то же	16	12
34	что он	8	12
35	мы видели	5	12
36	ни в	3	12
37	в самом	17	12
38	и наконец	7	12
39	для него	9	12
40	все это	11	12
41	во внешнем	2	12
42	сказать что	3	11
43	его в	5	11
44	отношению к	4	11
45	мы знаем	3	11
46	только в	6	11
47	никогда не	6	10
48	и с	17	10
49	все те	2	10
50	за пределы	2	10
51	не только	14	10
52	но и	18	10
53	не в	16	10
54	он не	8	10
55	в том	17	10
56	один из	4	10
57	что же	6	10
58	конечно не	5	10
59	могут быть	7	9
60	к этому	3	9
61	совершенно не	5	9
62	и др	8	9
63	к нему	3	9
64	в чем	2	9
65	уже не	9	9
66	и на	10	9
67	мы не	6	9
68	а не	11	9
69	во всяком	6	9
70	с его	12	9
71	все же	8	8
72	с этим	6	8
73	было бы	10	8
74	и вот	2	8
75	еще не	6	8
76	с другими	11	8
77	а в	11	8
78	знаем что	2	8
79	в ней	15	8
80	на этом	2	8
81	всяком случае	6	8
82	при этом	14	8
83	так сказать	6	7
84	не могут	8	7
85	до конца	9	7
86	в жизни	3	7
87	в то	14	7
88	в себе	4	7
89	что в	10	7
90	и ее	15	7
91	хотя бы	10	7
92	и для	5	7
93	отношение к	4	7
94	быть и	5	7
95	роль в	2	7
96	не является	3	7
97	того что	7	7
98	но не	5	7
99	более того	6	7
100	с самого	2	7
101	в нем	25	7
102	если мы	5	7
103	и к	7	7
104	из них	5	7
105	и прежде	3	7
106	жизни и	10	7
107	в этой	10	7
108	на самом	8	6
109	для этого	6	6
110	в высшей	4	6
111	из этих	4	6
112	всех этих	6	6
113	для марксизма	3	6
114	не менее	12	6
115	для того	3	6
116	в таком	2	6
117	и только	5	6
118	и о	3	6
119	если он	4	6
120	в пределах	13	6
121	в корне	6	6
122	она не	8	6
123	к тому	6	6
124	не можем	3	6
125	что такое	2	6
126	можно сказать	2	6
127	чем же	3	6
128	ни о	3	6
129	в свою	8	6
130	большинстве случаев	5	6
131	совсем не	2	6
132	здесь в	2	6
133	как раз	8	6
