N	3gram	Vygotskiy_	Russkaja
1	то же время	2	10
2	в то же	2	10
3	с точки зрения	12	9
4	в том что	21	7
5	для того чтобы	11	6
6	во всяком случае	7	6
7	на самом деле	6	6
8	до сих пор	8	5
9	бы то ни	2	4
10	на то что	12	4
11	в том случае	3	4
12	к тому чтобы	3	4
13	более или менее	3	4
14	не может быть	14	4
15	вместе с тем	3	3
16	в конце концов	6	3
17	том случае если	2	3
18	и то что	3	3
19	можно было бы	2	3
20	с тем чтобы	2	3
21	и не может	2	3
22	к тому что	2	2
23	точно так же	6	2
24	и в том	2	2
25	в том и	4	2
26	в противоречие с	3	2
27	только в том	4	2
28	о том что	9	2
29	в настоящее время	2	2
30	сама по себе	2	2
31	и не будет	2	2
