N	2gram	Ircho_Kome	EvropaiE
1	и в	40	37
2	в отношении	6	32
3	точки зрения	7	23
4	что в	12	21
5	не только	12	18
6	в то	14	16
7	хотя бы	2	15
8	то же	7	15
9	в своем	6	14
10	но в	6	14
11	но и	14	14
12	и не	19	14
13	же время	5	14
14	в качестве	8	14
15	в этом	9	12
16	в том	19	11
17	в их	6	11
18	в области	3	11
19	так и	17	10
20	с и	5	10
21	все более	4	9
22	т е	14	9
23	так же	4	9
24	не может	3	9
25	отнюдь не	2	9
26	в себе	3	9
27	прежде всего	8	9
28	только в	6	9
29	одной стороны	5	8
30	между тем	9	8
31	в ее	2	8
32	было бы	8	8
33	в своей	3	8
34	с одной	5	8
35	к тому	15	8
36	по своему	5	7
37	с другой	7	7
38	а также	5	7
39	как и	12	7
40	так как	6	7
41	между прочим	2	7
42	том что	19	6
43	в последние	2	6
44	вслед за	4	6
45	во всех	4	6
46	и даже	5	6
47	может быть	16	6
48	и на	9	6
49	с этой	3	6
50	того чтобы	4	6
51	для того	3	6
52	на то	3	6
53	то что	8	6
54	как бы	3	6
55	вовсе не	3	6
56	но не	3	5
57	от этого	2	5
58	и по	6	5
59	столь же	9	5
60	но если	4	5
61	в той	2	5
62	как мы	5	5
63	со стороны	3	5
64	не в	8	5
65	в виде	3	5
66	в частности	7	5
67	в течение	5	5
68	же как	3	5
69	одной из	6	5
70	даже в	3	4
71	вопрос о	5	4
72	и притом	2	4
73	независимо от	5	4
74	именно в	5	4
75	в самом	5	4
76	из числа	6	4
77	мы не	4	4
78	в ней	2	4
79	по себе	2	4
80	несмотря на	5	4
81	мира в	5	4
82	к ней	2	4
83	ни было	4	4
84	как это	7	4
85	то ни	4	4
86	бы то	4	4
87	с тем	5	3
88	и от	2	3
89	и для	4	3
90	в аттику	2	3
91	из всех	2	3
92	европейской культуры	2	3
93	о том	12	3
94	ли это	2	3
95	идет о	5	3
96	в общем	2	3
97	того же	4	3
98	можно было	5	3
99	этом смысле	2	3
100	в свою	2	3
101	и к	2	3
102	в результате	5	3
103	мы можем	6	3
104	от них	3	3
105	из них	16	3
106	в известном	2	3
107	в них	7	3
108	всяком случае	4	3
109	место в	7	3
110	на себя	5	3
111	мы видели	2	3
112	что и	10	3
113	во второй	4	3
114	и тем	2	3
115	тем что	5	3
116	этом отношении	3	3
117	не является	2	3
118	не более	2	3
119	потому что	8	3
120	как в	8	3
121	как на	2	3
122	большинстве случаев	2	3
123	ее в	2	3
124	во всяком	4	3
125	именно потому	2	2
126	и если	2	2
127	представление о	3	2
128	в мире	3	2
129	на этот	5	2
130	если в	3	2
131	в его	8	2
132	что это	5	2
133	в эту	2	2
134	что к	2	2
135	к нему	5	2
136	а в	9	2
137	чем на	2	2
138	участие в	4	2
139	с этим	5	2
140	из того	2	2
141	более поздние	2	2
142	или по	3	2
143	в котором	6	2
144	в свои	4	2
145	в своих	2	2
146	от друга	2	2
147	и еще	5	2
148	и поэтому	2	2
149	в большинстве	2	2
150	и с	8	2
151	бы в	3	2
152	что на	4	2
153	могут быть	3	2
154	в развитии	2	2
155	не говоря	4	2
156	другой стороны	6	2
157	также в	3	2
158	по своей	2	2
159	в одном	10	2
160	и можно	2	2
161	и как	3	2
162	в порядке	2	2
163	мог бы	3	2
164	ко всему	2	2
165	что же	2	2
166	целый ряд	2	2
167	если бы	4	2
168	для них	2	2
169	в этих	5	2
170	жизни и	4	2
171	войны и	7	2
172	в силу	4	2
173	частности в	2	2
174	еще более	2	2
175	и теперь	3	2
176	более чем	4	2
177	в других	3	2
178	и других	7	2
179	за тем	2	2
180	и что	2	2
181	и во	4	2
182	имеет в	2	2
183	же в	7	2
184	второй половине	3	2
185	одном из	4	2
186	и все	4	2
187	или в	5	2
188	друг от	2	2
189	наряду с	7	2
190	таким образом	13	2
191	в истории	10	2
192	он не	5	2
193	как будто	3	2
194	такой же	2	2
195	на основании	7	2
196	главным образом	4	2
197	говоря уже	4	2
198	не к	2	2
199	в этой	9	2
200	не означает	2	2
201	меньше чем	2	2
202	и таким	2	2
203	всего в	5	2
204	хотя и	6	2
205	в какой	2	2
206	вместе с	8	2
207	и более	2	2
