N	2gram	Bakhtin_Fr	Tragedij
1	и в	105	18
2	в романе	8	10
3	в году	13	9
4	в этом	22	9
5	не только	24	8
6	и не	34	7
7	и на	25	7
8	как бы	33	7
9	и с	8	7
10	может быть	11	7
11	же время	5	6
12	что он	5	6
13	но в	16	6
14	и его	24	6
15	у него	2	6
16	это очень	2	5
17	несмотря на	5	5
18	к жизни	2	5
19	все же	10	5
20	это не	4	5
21	то же	6	5
22	как и	15	5
23	в дальнейшем	10	5
24	так и	16	5
25	не может	9	5
26	в то	5	5
27	он всегда	2	4
28	что в	4	4
29	еще не	8	4
30	в целом	3	4
31	но и	20	4
32	прежде всего	26	4
33	об этом	2	4
34	том что	9	4
35	в этой	11	4
36	так же	2	4
37	и все	7	4
38	все это	16	4
39	в нем	16	4
40	то что	7	4
41	но это	5	4
42	и даже	10	4
43	в себе	7	4
44	один из	5	3
45	своего рода	2	3
46	и как	2	3
47	уже в	5	3
48	к нему	5	3
49	в своем	11	3
50	при этом	10	3
51	в его	24	3
52	все эти	15	3
53	на страницах	2	3
54	и он	3	3
55	о чем	3	3
56	в основном	4	3
57	с ее	3	3
58	и сам	2	3
59	как в	6	3
60	жизнь и	3	3
61	для него	12	3
62	то есть	71	3
63	в конце	3	3
64	с ним	6	3
65	никогда не	11	2
66	в самом	7	2
67	но все	5	2
68	по поводу	2	2
69	до конца	4	2
70	одна из	5	2
71	друг друга	3	2
72	тем что	5	2
73	в одном	8	2
74	его в	7	2
75	раз и	2	2
76	ничего не	3	2
77	не могут	4	2
78	в ее	5	2
79	но эта	2	2
80	к тому	3	2
81	говорит о	2	2
82	от всего	3	2
83	о том	5	2
84	что и	2	2
85	не в	4	2
86	это был	3	2
87	и здесь	4	2
88	это уже	4	2
89	потому что	6	2
90	не просто	3	2
91	в известной	7	2
92	в частности	6	2
93	в таком	2	2
94	еще раз	4	2
95	лицо его	2	2
96	он не	3	2
97	под влиянием	3	2
98	и за	2	2
99	уже не	3	2
100	и это	3	2
101	но они	4	2
102	отличие от	5	2
103	xix веке	2	2
104	в том	17	2
105	году в	3	2
106	и до	6	2
107	но при	2	2
108	в отличие	4	2
109	еще в	3	2
110	он и	3	2
111	с его	9	2
112	он был	3	2
113	в это	2	2
114	отношение к	9	2
