N	2gram	Tiupa_Hudo	RusskieA
1	и в	34	79
2	в том	24	64
3	том что	31	59
4	что в	8	57
5	т е	6	54
6	не только	22	41
7	а а	2	40
8	так как	2	34
9	в этом	22	33
10	и другие	5	33
11	состоит в	8	32
12	как бы	11	31
13	но и	13	31
14	в других	4	30
15	как и	16	28
16	может быть	12	28
17	и на	6	28
18	на святках	4	27
19	и м	2	25
20	одна из	4	24
21	и т	15	23
22	о том	21	23
23	при этом	21	22
24	т д	5	21
25	это не	12	20
26	как мы	5	20
27	а в	11	20
28	там же	2	20
29	из них	5	19
30	xix в	5	18
31	представляют собой	2	18
32	все это	2	18
33	потому что	7	17
34	то что	13	17
35	об этом	8	17
36	вместе с	2	17
37	мы не	2	16
38	один из	6	15
39	будто бы	6	15
40	в xix	2	14
41	для нас	4	14
42	не менее	9	14
43	в них	3	14
44	как это	8	14
45	тем не	7	14
46	и не	15	14
47	и с	10	14
48	и что	3	14
49	так что	3	13
50	и по	3	13
51	не может	10	13
52	еще не	10	13
53	как в	11	13
54	уже не	12	13
55	в землю	2	13
56	в виде	2	12
57	тем что	6	12
58	что на	4	11
59	следующим образом	3	11
60	но это	2	11
61	не имеет	2	11
62	его в	5	10
63	так и	19	10
64	между тем	14	10
65	все же	5	10
66	что и	3	10
67	а также	4	10
68	том чтобы	2	10
69	или в	3	10
70	данном случае	3	9
71	о чем	9	9
72	но в	6	9
73	к жизни	6	9
74	и все	10	9
75	что они	4	9
76	то же	14	9
77	в г	3	9
78	но не	7	9
79	видно что	3	9
80	так же	3	8
81	того что	5	8
82	одно из	4	8
83	как уже	3	8
84	в данном	3	8
85	на себя	3	8
86	того чтобы	6	8
87	их в	2	8
88	же в	3	8
89	связи с	4	8
90	что это	2	8
91	как например	2	8
92	не все	2	8
93	во всех	2	8
94	подобно тому	4	8
95	для того	3	8
96	в этих	7	8
97	тому как	4	8
98	в своем	9	7
99	а и	2	7
100	ничего не	11	7
101	не в	16	7
102	а с	5	7
103	к нему	2	7
104	на них	2	7
105	н а	2	7
106	было бы	8	7
107	до конца	3	7
108	из этих	3	7
109	в это	4	7
110	это время	2	7
111	еще в	4	7
112	только в	8	7
113	как будто	7	7
114	а не	23	7
115	с собой	2	6
116	в этой	11	6
117	и у	3	6
118	друг друга	5	6
119	на этом	5	6
120	в их	2	6
121	только на	6	6
122	тому что	8	6
123	она не	6	6
124	к тому	11	6
125	в нем	5	6
126	так в	2	6
127	же как	4	6
128	с ними	3	6
129	все эти	4	6
130	в качестве	13	6
131	в одном	3	6
132	что она	10	6
133	и о	8	6
134	в первый	2	6
135	также в	2	6
136	на земле	2	6
137	или с	2	6
138	и более	2	6
139	приводит к	5	6
140	в таком	3	6
141	на самом	2	5
142	вопрос о	2	5
143	и потому	3	5
144	к себе	8	5
145	нас к	2	5
146	что он	14	5
147	в москве	2	5
148	прежде всего	12	5
149	с этим	3	5
150	заметить что	2	5
151	в то	12	5
152	в целом	2	5
153	тогда как	10	5
154	в связи	3	5
155	там где	2	5
156	не было	8	5
157	например в	3	5
158	в его	17	5
159	по поводу	3	5
160	то и	5	5
161	можно было	6	5
162	как правило	6	5
163	только для	4	5
164	не с	2	5
165	и для	5	5
166	с другой	4	5
167	и к	6	5
168	отнюдь не	4	5
169	м е	2	5
170	или даже	2	5
171	с ним	6	5
172	мы уже	7	5
173	если в	4	4
174	и ее	3	4
175	и а	7	4
176	влияние на	2	4
177	она как	2	4
178	его и	2	4
179	они и	2	4
180	своего рода	19	4
181	не столько	4	4
182	и тогда	2	4
183	в основе	3	4
184	и от	6	4
185	по своему	3	4
186	дело не	2	4
187	к ней	2	4
188	несмотря на	7	4
189	за ним	3	4
190	та же	5	4
191	и потом	2	4
192	она в	5	4
193	такой же	3	4
194	но все	2	4
195	что у	4	4
196	именно в	9	4
197	в котором	5	4
198	в своих	4	4
199	уже в	2	4
200	в ней	6	4
201	на основе	2	4
202	но он	3	4
203	никогда не	8	3
204	чтобы не	3	3
205	ее по	2	3
206	ее и	2	3
207	том как	5	3
208	в одной	3	3
209	и поэтому	2	3
210	в форме	2	3
211	с той	2	3
212	сразу же	2	3
213	не во	3	3
214	есть и	3	3
215	на других	2	3
216	это и	2	3
217	как он	4	3
218	где говорится	2	3
219	и другое	2	3
220	мы знаем	4	3
221	они были	2	3
222	что все	3	3
223	любви и	3	3
224	и это	7	3
225	точки зрения	7	3
226	живет в	2	3
227	же не	3	3
228	в ее	16	3
229	в своей	15	3
230	нет и	2	3
231	место в	3	3
232	хотя и	3	3
233	и то	2	3
234	или не	3	3
235	с другими	2	3
236	ее на	3	3
237	это в	4	3
238	по отношению	15	3
239	человека а	2	3
240	в которой	2	3
241	от этого	2	3
242	на него	3	3
243	если бы	7	3
244	жизни в	12	3
245	отношению к	15	3
246	сих пор	3	3
247	жизнь и	2	3
248	с одной	4	3
249	говорится о	2	3
250	на то	4	3
251	все что	4	3
252	слова в	2	3
253	в русской	4	3
254	когда он	2	3
