N	3gram	Trubetskoy	Vladivir
1	в том что	3	29
2	о том что	4	22
3	тем не менее	3	18
4	во всяком случае	6	12
5	в связи с	3	12
6	более или менее	5	11
7	в конце концов	3	11
8	к тому же	4	11
9	в то же	2	10
10	с точки зрения	6	10
11	вместе с тем	8	10
12	то же время	2	9
13	то что он	2	9
14	на то что	2	8
15	точно так же	3	7
16	и в этом	2	6
17	так или иначе	3	6
18	бы то ни	2	5
19	и потому что	2	5
20	по крайней мере	5	4
21	можно сказать что	2	4
22	в этом отношении	2	4
23	с одной стороны	7	4
24	для того чтобы	5	4
25	и вместе с	4	4
26	с самого начала	2	3
27	ничего общего с	2	3
28	в том числе	5	3
29	а с другой	5	3
30	главным образом в	3	2
31	но вместе с	2	2
32	таким образом если	2	2
33	может быть и	2	2
34	так же как	3	2
35	до сих пор	5	2
36	а так как	3	2
37	то ни было	2	2
