N	3gram	Trubetskoy	EvropaiC
1	в том что	7	16
2	до сих пор	5	15
3	друг с другом	14	9
4	более или менее	4	8
5	а между тем	5	8
6	с точки зрения	9	8
7	на самом деле	6	7
8	для того чтобы	6	7
9	на то что	4	7
10	друг от друга	2	6
11	лишь в том	2	5
12	о котором идет	2	5
13	котором идет речь	2	5
14	том случае если	3	4
15	в том случае	4	4
16	тот факт что	2	4
17	в конце концов	3	4
18	в этом случае	3	4
19	о том что	2	4
20	не может быть	4	4
21	вместе с тем	3	3
22	бы то ни	4	3
23	в настоящее время	2	3
24	в данном случае	3	3
25	возможно лишь при	4	3
26	не может не	3	3
27	и то что	3	3
28	таким же образом	2	2
29	во всяком случае	6	2
30	и в том	2	2
31	в том и	2	2
32	о том чтобы	2	2
33	то же время	10	2
34	в то же	10	2
35	а следовательно и	2	2
36	при таких условиях	3	2
37	лишь при условии	2	2
