N	4gram	Losev_Prob	Dialekti
1	не что иное как	5	18
2	и т д и	4	14
3	д и т д	2	12
4	т д и т	3	12
5	есть не что иное	5	11
6	в то время как	2	8
7	или по крайней мере	4	8
8	ни в каком случае	6	7
9	не говоря уже о	5	7
10	по крайней мере в	2	6
11	и тем не менее	8	5
12	имеет ничего общего с	3	5
13	то это значит что	2	5
14	не имеет ничего общего	4	5
15	только тогда когда есть	2	4
16	в связи с этим	2	4
17	с одной стороны и	2	4
18	в каком случае не	4	3
19	в себе не содержит	2	2
20	бы то ни стало	2	2
21	что бы то ни	2	2
22	во что бы то	2	2
23	вовсе не есть ни	2	2
24	когда мы говорим что	2	2
25	дело в том что	3	2
