N	3gram	Voloshinov	Freidism
1	с точки зрения	5	15
2	не может быть	2	14
3	по отношению к	2	11
4	в самом деле	2	10
5	как мы видели	3	8
6	в то же	9	6
7	то же время	7	6
8	можно сказать что	2	5
9	как мы уже	3	5
10	с самого начала	4	5
11	в этом отношении	2	4
12	мы увидим что	2	4
13	в зависимости от	7	4
14	на самом деле	3	4
15	в свою очередь	4	4
16	внутренней и внешней	3	3
17	все то что	2	3
18	и той же	4	3
19	во всех своих	3	3
20	но в то	2	3
21	о том что	2	3
22	для того чтобы	7	3
23	одной и той	4	3
24	мы видели что	2	3
25	то же самое	4	2
26	к тому что	2	2
27	зависимости от того	2	2
28	то что мы	4	2
29	мы никогда не	5	2
30	то или иное	4	2
31	что же такое	2	2
32	в конце концов	3	2
33	что мы называем	3	2
34	равно как и	2	2
35	обратное влияние на	4	2
