N	3gram	Vygotskiy_	Tvorches
1	в том что	33	11
2	о том что	7	8
3	не может быть	4	6
4	по отношению к	19	5
5	в самом деле	6	5
6	с точки зрения	12	4
7	с самого начала	8	4
8	до сих пор	3	4
9	это значит что	4	3
10	том что в	2	3
11	с другой стороны	8	3
12	и не может	3	3
13	является одним из	2	3
14	во всяком случае	2	3
15	в отличие от	3	3
16	что он не	3	2
17	но при этом	2	2
18	по самой своей	2	2
19	на самом деле	3	2
20	на этот вопрос	5	2
21	потому что он	7	2
22	для того чтобы	20	2
23	можно сказать что	7	2
24	в этой области	3	2
25	не то что	4	2
26	мы уже говорили	2	2
27	в связи с	6	2
28	в первую очередь	4	2
29	том числе и	2	2
30	не могут быть	3	2
31	вместе с тем	4	2
32	заключается в том	12	2
33	в конце концов	2	2
34	так же как	9	2
35	в известном смысле	7	2
36	в данном случае	3	2
37	в том числе	2	2
38	и что в	2	2
39	только то что	2	2
40	именно в этом	3	2
41	в высшей степени	3	2
42	в свою очередь	4	2
43	а потому что	2	2
44	и в другом	3	2
