N	2gram	Nazirov_Tv	Myslijsy
1	потому что	10	182
2	то есть	16	142
3	и в	40	121
4	может быть	11	107
5	в том	13	103
6	то что	9	83
7	что в	17	73
8	и не	12	73
9	только в	7	72
10	не только	16	67
11	а не	9	67
12	таким образом	14	64
13	том что	14	59
14	так как	6	59
15	в этом	11	59
16	но и	10	59
17	то же	19	56
18	не в	3	54
19	если бы	4	53
20	в себе	3	53
21	не может	9	52
22	по себе	2	52
23	того что	3	47
24	в душе	4	45
25	в нем	4	45
26	было бы	2	45
27	не есть	2	42
28	как и	16	42
29	так что	4	39
30	вместе с	4	39
31	мы не	3	38
32	что и	3	38
33	так и	5	37
34	при этом	14	37
35	как в	10	37
36	точно так	3	35
37	тем что	2	33
38	и что	2	32
39	по отношению	3	30
40	а в	10	30
41	но не	7	29
42	что не	5	29
43	между тем	2	29
44	вовсе не	5	28
45	для него	9	28
46	могут быть	4	27
47	с этим	2	27
48	и т	14	26
49	не было	3	26
50	отношению к	3	26
51	в то	23	24
52	как бы	26	23
53	но в	11	22
54	по мере	2	22
55	не имеет	2	22
56	с другой	4	22
57	то это	2	22
58	и потому	4	21
59	не менее	8	21
60	в ней	2	20
61	в одном	3	20
62	это не	9	20
63	мысль о	3	20
64	тем самым	10	19
65	мысли и	5	19
66	и как	5	19
67	с ним	4	19
68	есть не	2	19
69	сказать что	3	19
70	но это	10	19
71	тем не	2	19
72	о том	9	19
73	того же	2	19
74	еще не	5	18
75	не могут	2	18
76	в человеке	4	18
77	там же	11	18
78	тогда как	3	18
79	в мысли	2	18
80	в самом	6	18
81	что я	4	18
82	в таком	4	18
83	в его	19	17
84	по крайней	4	17
85	крайней мере	4	17
86	что оно	2	17
87	во всяком	2	17
88	уже в	5	17
89	в своем	4	16
90	к тому	2	16
91	в которой	5	16
92	только что	2	16
93	так же	6	16
94	же с	10	16
95	и на	12	16
96	и по	5	15
97	т д	10	15
98	в этих	2	15
99	с одной	2	15
100	и тем	2	15
101	что он	11	15
102	прежде всего	10	15
103	быть может	3	15
104	только как	2	15
105	в свою	8	15
106	уже не	6	15
107	свою очередь	2	14
108	и без	2	14
109	связи с	2	14
110	в истории	2	14
111	то в	2	14
112	так сказать	4	14
113	на деле	3	14
114	столь же	2	14
115	в котором	8	14
116	в одно	2	14
117	все же	9	14
118	во всех	2	14
119	же время	18	14
120	что все	4	13
121	и все	6	13
122	зависит от	4	13
123	т п	4	13
124	например в	3	13
125	из них	4	13
126	и его	14	13
127	никогда не	13	12
128	от него	2	12
129	человека и	6	12
130	друг друга	2	12
131	что на	3	12
132	не то	2	12
133	все это	14	12
134	в чем	4	12
135	хотя и	5	12
136	другой стороны	2	12
137	в каждом	4	12
138	всяком случае	2	12
139	к одному	2	11
140	для человека	3	11
141	и притом	2	11
142	той же	4	11
143	в первом	3	11
144	только на	2	11
145	только для	2	11
146	что для	3	11
147	и если	3	11
148	из себя	2	11
149	и их	2	11
150	его в	2	11
151	указывает на	2	11
152	если не	4	11
153	души и	2	11
154	к ней	3	11
155	что человек	3	11
156	сами по	2	11
157	и это	2	11
158	и только	2	11
159	хотя бы	5	10
160	тому что	2	10
161	мы видим	3	10
162	образ и	2	10
163	и от	8	10
164	он не	10	10
165	и с	9	10
166	что как	2	10
167	и есть	2	10
168	таком случае	2	9
169	и других	5	9
170	не будет	2	9
171	не все	2	9
172	и даже	8	9
173	на него	2	9
174	известно что	4	9
175	себе не	3	9
176	и о	2	9
177	далеко не	3	9
178	и того	2	9
179	самом деле	4	9
180	один из	5	9
181	в целом	7	9
182	во время	2	9
183	можно сказать	2	9
184	что она	5	9
185	на самом	3	8
186	при помощи	4	8
187	так например	3	8
188	тот же	3	8
189	отношений между	2	8
190	что они	3	8
191	в глазах	2	8
192	и более	2	8
193	именно в	6	8
194	в которых	3	8
195	слова не	2	8
196	вслед за	2	8
197	влияние на	3	8
198	была бы	2	8
199	с ними	3	8
200	и тогда	2	8
201	не так	5	8
202	или в	2	8
203	не имеют	4	7
204	а как	2	7
205	том же	3	7
206	одном из	2	7
207	самого начала	3	7
208	в искусстве	3	7
209	она не	2	7
210	с самого	3	7
211	связь с	3	7
212	и та	2	7
213	место в	6	7
214	все эти	3	7
215	когда я	2	7
216	превращается в	2	7
217	с этой	4	7
218	что у	5	7
219	в своих	8	7
220	как она	2	7
221	вряд ли	2	7
222	в таких	2	7
223	его к	2	7
224	то все	2	7
225	было в	2	7
226	в данном	2	7
227	к этому	4	7
228	о котором	2	7
229	в жизни	3	7
230	не существует	3	7
231	в создании	2	6
232	но если	4	6
233	в виду	3	6
234	в один	3	6
235	в стороне	2	6
236	на его	4	6
237	от мысли	2	6
238	в образе	4	6
239	в ее	3	6
240	в своей	8	6
241	в этой	7	6
242	в мире	8	6
243	у нас	2	6
244	заставляет нас	2	6
245	все более	2	6
246	давно уже	2	6
247	к которому	3	6
248	в их	5	6
249	в виде	4	6
250	что с	2	6
251	и до	2	6
252	показывает что	5	6
253	об этом	4	6
254	что его	4	6
255	жизни и	3	6
256	же и	2	6
257	у него	11	6
258	мы уже	2	6
259	но он	3	6
260	в процессе	3	5
261	когда человек	2	5
262	эта мысль	3	5
263	а с	4	5
264	быть назван	2	5
265	однако в	3	5
266	рядом с	2	5
267	если в	3	5
268	одна из	5	5
269	на ней	2	5
270	переход от	2	5
271	с другим	3	5
272	но только	3	5
273	этот вопрос	4	5
274	даже в	4	5
275	перед нами	3	5
276	и у	3	5
277	стремится к	3	5
278	на том	2	5
279	не столько	4	5
280	с каким	2	5
281	но эти	3	5
282	в начале	2	5
283	времени и	4	5
284	по мнению	4	5
285	человека в	9	5
286	одним из	6	5
287	не по	3	5
288	отношении к	2	5
289	на этот	3	5
290	но уже	2	5
291	и здесь	2	5
292	не к	2	5
293	данном случае	2	4
294	начиная с	2	4
295	не противоречит	2	4
296	в такой	2	4
297	в ту	4	4
298	ту же	4	4
299	был бы	3	4
300	дело в	4	4
301	его как	2	4
302	та же	4	4
303	отказаться от	4	4
304	не мог	3	4
305	эти слова	3	4
306	ни в	2	4
307	еще более	3	4
308	или даже	2	4
309	ничего не	3	4
310	свободы и	2	4
311	и необходимости	2	4
312	не во	2	4
313	но эта	3	4
314	в наше	4	4
315	не знает	2	4
316	одного из	3	4
317	мы находим	2	4
318	в связи	2	4
319	с его	12	4
320	но она	2	4
321	имеет в	2	4
322	но без	2	4
323	такой же	4	4
324	ведет к	3	4
325	человек может	2	4
326	он говорит	3	4
327	во многом	8	4
328	со своим	2	4
329	стремление к	2	4
330	между людьми	3	4
331	я и	3	4
332	он видит	3	3
333	и поэтому	2	3
334	действительности и	3	3
335	от ее	2	3
336	они имеют	2	3
337	отличие от	3	3
338	идеи и	2	3
339	и др	2	3
340	мы знаем	2	3
341	здесь мы	2	3
342	одной из	7	3
343	что этот	2	3
344	в известной	4	3
345	и человек	3	3
346	идеи в	2	3
347	для них	2	3
348	в известном	2	3
349	которого не	2	3
350	а может	2	3
351	в нашей	2	3
352	время в	3	3
353	до этого	2	3
354	и наконец	3	3
355	развития в	2	3
356	следовало бы	2	3
357	от одной	2	3
358	на стороне	3	3
359	как будто	5	3
360	в себя	3	3
361	о которой	2	3
362	а что	2	3
363	в одной	5	3
364	как это	2	3
365	сливается с	4	3
366	значит что	3	3
367	и когда	2	3
368	и я	2	3
369	человек и	2	3
370	в двух	2	3
371	в пространстве	2	3
372	это в	3	3
373	наше время	4	3
374	должен был	2	3
375	человека с	2	3
376	несколько раз	2	3
377	ее в	3	3
378	важную роль	2	3
379	жизни не	2	3
380	с которым	2	3
381	он сам	8	3
382	не значит	2	3
383	ее и	2	2
384	во времени	3	2
385	в движении	2	2
386	по словам	2	2
387	роль в	2	2
388	которого он	2	2
