N	3gram	Vygotskiy_	VerxiiNi
1	вместе с тем	4	8
2	с одной стороны	10	7
3	с точки зрения	12	6
4	во всяком случае	2	6
5	для того чтобы	20	5
6	до сих пор	3	5
7	друг с другом	10	5
8	в том числе	2	5
9	а с другой	3	5
10	но все же	2	4
11	о том что	7	4
12	том числе и	2	4
13	в конце концов	2	3
14	так же как	9	3
15	в том что	33	3
16	в связи с	6	3
17	можно сказать что	7	2
18	ничего общего с	3	2
19	на то что	5	2
20	но вместе с	3	2
21	между этими двумя	2	2
22	то же самое	7	2
23	таким образом в	2	2
24	то что он	3	2
25	с самого начала	8	2
26	этой точки зрения	7	2
27	друг на друга	2	2
28	с этой точки	7	2
29	в этом отношении	7	2
30	по сравнению с	9	2
31	потому что и	2	2
32	те и другие	11	2
