N	2gram	Tiupa_Lite	Stilisti
1	и в	26	42
2	как бы	8	30
3	не только	29	28
4	и т.п	14	25
5	прежде всего	14	22
6	и т.д	8	21
7	хотя бы	3	18
8	то же	13	16
9	но и	25	16
10	и не	19	14
11	не может	10	13
12	может быть	24	13
13	как и	13	12
14	точки зрения	8	11
15	в себе	8	10
16	и как	2	10
17	отнюдь не	4	10
18	в этом	19	10
19	как мы	2	10
20	в то	12	9
21	для того	2	9
22	все же	6	9
23	то что	14	9
24	эти слова	2	9
25	при этом	23	9
26	мы не	5	9
27	тем самым	8	8
28	ничего не	3	8
29	так как	2	8
30	с тем	2	8
31	в ней	4	8
32	таким образом	4	8
33	с его	5	8
34	никогда не	5	7
35	же время	12	7
36	так и	7	7
37	потому что	5	7
38	только в	8	7
39	а не	28	7
40	и на	5	7
41	было бы	4	7
42	и его	7	7
43	той же	5	7
44	и тем	4	7
45	или иной	3	6
46	во всех	4	6
47	не в	11	6
48	в области	5	6
49	в конце	6	6
50	в нем	4	6
51	в свою	2	6
52	если б	2	6
53	в его	9	6
54	слова в	2	6
55	в этой	7	6
56	и то	3	5
57	в сознании	3	5
58	в нашем	2	5
59	то есть	11	5
60	слова и	6	5
61	не является	3	5
62	и наконец	2	5
63	самом деле	2	5
64	как это	9	5
65	а с	2	5
66	и является	2	5
67	а в	5	5
68	но в	5	5
69	в самом	4	5
70	и с	4	5
71	уже в	7	5
72	с точки	4	5
73	художественного творчества	3	5
74	вместе с	5	5
75	да и	3	4
76	в одном	2	4
77	ту или	2	4
78	в словах	2	4
79	на это	2	4
80	его в	4	4
81	лишь в	4	4
82	свою очередь	2	4
83	у нас	5	4
84	к своему	2	4
85	того что	7	4
86	всего в	4	4
87	можно было	3	4
88	всех своих	3	4
89	один из	7	4
90	в каждом	2	4
91	к тому	3	4
92	о том	3	4
93	что такое	2	4
94	или иную	2	4
95	уже не	9	4
96	в целом	10	4
97	на другого	2	4
98	не просто	2	4
99	в качестве	21	4
100	себя в	7	4
101	тех или	2	4
102	не к	3	4
103	в слове	3	4
104	тем же	5	4
105	это не	4	3
106	но при	2	3
107	том что	19	3
108	нуждается в	3	3
109	а к	2	3
110	в начале	4	3
111	о своем	3	3
112	и даже	9	3
113	или иных	2	3
114	роль в	2	3
115	во второй	2	3
116	в виду	4	3
117	та же	2	3
118	в том	22	3
119	в частности	18	3
120	еще не	4	3
121	только на	3	3
122	как в	5	3
123	и вот	2	3
124	не знает	3	3
125	для него	6	3
126	не с	2	3
127	то он	3	3
128	сознания не	2	3
129	и само	3	3
130	быть может	2	3
131	из которых	3	3
132	из них	5	3
133	для нас	3	3
134	художественное творчество	2	3
135	несмотря на	3	3
136	жизни и	6	3
137	что и	3	3
138	мы в	3	3
139	все эти	2	3
140	связи с	7	3
141	перед ним	2	3
142	этом случае	2	3
143	между тем	2	3
144	в основе	5	3
145	не мог	3	3
146	еще и	3	2
147	до конца	3	2
148	в отношении	2	2
149	для этого	5	2
150	все то	2	2
151	очевидно что	2	2
152	к достижению	2	2
153	для всех	5	2
154	относится к	3	2
155	в нашей	2	2
156	на два	2	2
157	мы имеем	2	2
158	нет ничего	2	2
159	из этих	2	2
160	но как	3	2
161	человека и	2	2
162	своего героя	2	2
163	но даже	2	2
164	каждый из	4	2
165	и нет	4	2
166	к этому	2	2
167	по отношению	6	2
168	общения людей	2	2
169	ли не	7	2
170	друг друга	5	2
171	есть не	2	2
172	должен быть	2	2
173	я и	10	2
174	в разговоре	2	2
175	тем что	6	2
176	не обладает	2	2
177	человека в	5	2
178	бы не	3	2
179	этом отношении	5	2
180	в их	3	2
181	том же	3	2
182	в этих	2	2
183	что он	8	2
184	по своей	3	2
185	и сам	6	2
186	отношению к	4	2
187	себе и	2	2
188	в пределах	4	2
189	в какой	2	2
190	при всем	4	2
191	не должен	3	2
192	себе в	3	2
193	чуть ли	2	2
194	одной из	2	2
195	в жизни	7	2
196	в мире	9	2
197	но не	8	2
198	в душе	3	2
199	как уже	3	2
200	также и	3	2
201	тому же	2	2
202	он говорит	2	2
203	в своих	5	2
204	с собой	4	2
205	даже и	2	2
206	ту же	4	2
207	не есть	2	2
208	не говоря	3	2
209	однако в	7	2
210	представляет собой	5	2
211	и он	3	2
212	на наш	7	2
213	для них	2	2
214	такие как	3	2
215	не было	5	2
216	но это	2	2
217	в своей	5	2
218	общественного сознания	5	2
219	в связи	4	2
220	он не	4	2
221	с ним	2	2
222	вовсе не	3	2
