N	3gram	Propp_Isto	EvropaiC
1	в том что	4	16
2	до сих пор	7	15
3	по отношению к	2	11
4	друг с другом	2	9
5	мы знаем что	8	7
6	для того чтобы	3	7
7	на то что	3	7
8	тем не менее	6	4
9	с другой стороны	10	4
10	в этом случае	13	4
11	о том что	5	4
12	совершенно так же	3	4
13	не может быть	6	4
14	вместе с тем	7	3
15	так же как	10	3
16	в данном случае	2	3
17	таким образом в	2	3
18	в связи с	6	3
19	и то что	3	3
20	он не может	2	2
21	но вместе с	4	2
22	с одной стороны	7	2
23	но все же	6	2
24	в то время	3	2
25	во всех этих	2	2
26	но так как	3	2
27	как и в	4	2
