N	3gram	Tiupa_Lite	Problema
1	тем не менее	4	56
2	о том что	3	39
3	в том что	15	37
4	в связи с	4	29
5	в данном случае	6	28
6	по крайней мере	2	26
7	во всяком случае	2	25
8	с точки зрения	4	25
9	с другой стороны	5	25
10	и то что	2	20
11	в то же	12	17
12	в этом случае	2	14
13	ничего общего с	2	13
14	можно было бы	2	13
15	не может быть	5	12
16	так или иначе	8	12
17	дело в том	2	11
18	с одной стороны	8	11
19	тех или иных	2	11
20	только то что	2	10
21	не только в	4	10
22	и тем самым	2	10
23	не говоря уже	3	9
24	в сравнении с	2	9
25	только в том	2	8
26	говоря уже о	2	7
27	в этом отношении	5	6
28	и прежде всего	4	5
29	в том числе	2	5
30	этой точки зрения	3	4
31	а с другой	2	4
32	ту или иную	2	4
33	подобно тому как	4	4
34	до тех пор	2	4
35	мы имеем дело	2	4
36	в русской литературе	5	3
37	с этой точки	3	3
38	жизни и в	2	3
39	за то что	2	3
40	в отличие от	6	3
41	имел в виду	2	3
42	по отношению к	4	2
43	но с другой	3	2
44	в том же	3	2
45	в свою очередь	2	2
46	а то и	2	2
47	тем что в	2	2
48	и т п	2	2
49	может быть это	4	2
50	в виду не	2	2
