N	2gram	Vinokur_St	Literetu
1	а не	19	50
2	и не	23	47
3	не только	36	46
4	и в	61	44
5	может быть	16	43
6	при этом	4	41
7	но и	28	41
8	в том	56	39
9	в этом	37	38
10	своего рода	7	37
11	том что	49	32
12	в частности	6	30
13	такого рода	2	30
14	то что	27	29
15	в качестве	7	27
16	в году	3	26
17	то же	7	26
18	как и	11	23
19	в то	10	23
20	не в	15	22
21	так и	15	22
22	того что	14	22
23	не может	10	22
24	же время	5	21
25	в себе	3	20
26	прежде всего	11	19
27	как бы	8	18
28	то есть	2	17
29	точки зрения	16	17
30	в его	19	17
31	с другой	11	17
32	в этой	13	16
33	тем самым	2	15
34	со стороны	7	15
35	не менее	8	15
36	в целом	5	15
37	я не	13	15
38	в стихах	2	15
39	в русской	4	15
40	только в	11	15
41	по отношению	3	14
42	что он	23	14
43	и даже	8	14
44	в своем	8	13
45	как это	6	13
46	в тексте	12	13
47	с одной	3	13
48	но не	5	13
49	и его	11	13
50	в данном	16	12
51	в своей	12	12
52	а также	4	12
53	еще не	4	12
54	одним из	2	12
55	отношению к	3	12
56	о том	30	12
57	одной стороны	2	12
58	никогда не	7	11
59	данном случае	7	11
60	это не	8	11
61	в другом	5	11
62	еще в	3	11
63	с его	3	11
64	и сам	4	11
65	не столько	6	11
66	как в	15	11
67	а в	18	11
68	или иначе	3	11
69	столь же	5	11
70	в основе	4	11
71	вместе с	5	11
72	даже в	5	10
73	этом отношении	13	10
74	русской поэзии	2	10
75	для себя	3	10
76	в области	16	10
77	что в	41	10
78	так или	3	10
79	в ее	6	10
80	из них	11	10
81	и на	7	10
82	потому что	13	10
83	жизни и	6	10
84	одно из	3	9
85	к тому	9	9
86	связи с	3	9
87	в начале	5	9
88	лишь в	3	9
89	с этой	5	9
90	что я	3	9
91	вплоть до	6	8
92	в конце	5	8
93	ли не	2	8
94	все же	12	8
95	по существу	3	8
96	xix века	2	8
97	но в	16	8
98	того же	4	8
99	уже в	3	8
100	на себя	3	8
101	не говоря	2	8
102	что не	3	8
103	для него	10	8
104	говоря уже	2	8
105	и я	5	8
106	и как	2	8
107	а именно	3	8
108	тем что	6	8
109	в своих	2	8
110	той же	5	8
111	с точки	10	8
112	как раз	10	8
113	до конца	4	7
114	из того	2	7
115	в их	3	7
116	не как	2	7
117	по своей	2	7
118	наконец в	2	7
119	и тем	3	7
120	для этого	2	7
121	другой стороны	9	7
122	и для	4	7
123	как правило	2	7
124	у нас	12	7
125	именно в	8	7
126	в самом	14	7
127	и с	6	7
128	в одном	7	7
129	в случае	2	7
130	в нем	9	7
131	он не	11	7
132	тому же	2	7
133	еще и	5	6
134	его в	4	6
135	что ему	2	6
136	в виду	6	6
137	самом деле	14	6
138	культуры в	3	6
139	уже о	6	6
140	и он	2	6
141	было бы	21	6
142	не было	7	6
143	например в	8	6
144	поэзии и	3	6
145	и то	6	6
146	то в	3	6
147	во всех	8	6
148	в каждом	3	6
149	как о	2	6
150	в ней	9	6
151	том числе	3	6
152	и только	3	6
153	у него	3	6
154	как на	10	6
155	как будто	5	6
156	в слове	5	6
157	тем же	3	6
158	идет о	3	5
159	так как	7	5
160	как он	3	5
161	одном из	4	5
162	так что	8	5
163	и за	3	5
164	в романе	4	5
165	не знает	2	5
166	во втором	5	5
167	между тем	7	5
168	несмотря на	4	5
169	что и	8	5
170	в поэме	3	5
171	в сущности	2	5
172	место в	2	5
173	хотя бы	8	5
174	в россии	7	5
175	в равной	2	5
176	мы не	3	5
177	тем не	4	5
