N	3gram	Losev_Vesc	Hudozhes
1	в том что	9	8
2	в то же	5	7
3	то же время	4	7
4	с другой стороны	3	6
5	более или менее	4	6
6	для того чтобы	2	5
7	так или иначе	5	4
8	не может быть	22	4
9	одно и то	5	3
10	и то же	5	3
11	с точки зрения	6	3
12	с одной стороны	3	3
13	тем не менее	11	3
14	подобно тому как	5	3
15	в этом смысле	2	3
16	можно сказать что	3	3
17	ту или иную	3	2
18	то ни было	12	2
19	бы то ни	12	2
20	и в то	3	2
21	этой точки зрения	3	2
22	в самом деле	7	2
23	том что он	2	2
24	мы имеем дело	2	2
25	к тому что	2	2
26	с этой точки	3	2
27	тех или иных	2	2
28	сама по себе	7	2
29	в свою очередь	5	2
30	в основе своей	2	2
31	в отношении к	2	2
32	в той или	2	2
