N	3gram	Vygotskiy_	Marksizm
1	с точки зрения	34	46
2	не может быть	8	25
3	в самом деле	5	19
4	в то же	2	15
5	по отношению к	11	15
6	то же время	2	15
7	в связи с	3	14
8	в том что	30	14
9	в высшей степени	7	12
10	для того чтобы	19	11
11	до сих пор	4	11
12	с самого начала	9	10
13	в отличие от	3	10
14	как если бы	3	9
15	то же самое	4	8
16	смысле этого слова	6	7
17	с другой стороны	10	7
18	в свою очередь	3	7
19	во всяком случае	5	6
20	на самом деле	3	6
21	если бы он	3	6
22	на то что	9	6
23	с одной стороны	14	6
24	как мы уже	4	6
25	той или иной	2	5
26	в этом отношении	6	5
27	к тому что	3	5
28	внутренней речи и	5	5
29	том что он	2	4
30	можно сказать что	5	4
31	о том что	10	4
32	в зависимости от	8	4
33	и то же	2	3
34	на первый план	3	3
35	все более и	3	3
36	друг с другом	6	3
37	между этими двумя	2	3
38	в том числе	3	3
39	одной и той	2	3
40	можно было бы	6	3
41	более и более	3	3
42	одно и то	2	3
43	и той же	2	3
44	одной стороны и	3	3
45	на этот вопрос	5	3
46	ни в какой	2	3
47	том числе и	3	3
48	в значительной степени	2	3
49	прежде всего в	2	2
50	от того что	2	2
51	само по себе	3	2
52	же как и	4	2
53	собственном смысле слова	4	2
54	так же как	6	2
55	вопрос о том	2	2
56	в данном случае	5	2
57	что он не	2	2
58	как и в	2	2
59	и в самом	2	2
60	мы видели что	4	2
61	сама по себе	3	2
62	друг от друга	4	2
63	как и все	2	2
64	в последнее время	3	2
65	в собственном смысле	8	2
66	в этом вопросе	3	2
67	есть прежде всего	2	2
68	в этом смысле	3	2
69	независимо от того	2	2
