N	3gram	Tiupa_Anal	DiskursI
1	в том что	13	28
2	в отличие от	8	26
3	по отношению к	9	17
4	с одной стороны	6	14
5	не может быть	17	12
6	в данном случае	3	12
7	той или иной	8	10
8	то же время	7	10
9	по природе своей	3	10
10	о том что	8	9
11	в то же	9	8
12	в этом отношении	5	8
13	состоит в том	6	8
14	и все же	2	7
15	как и в	2	7
16	по крайней мере	4	6
17	не сводится к	2	6
18	в соответствии с	2	6
19	в основе своей	2	6
20	с точки зрения	6	6
21	в конечном счете	5	6
22	к тому же	6	6
23	то же самое	3	5
24	подобно тому как	5	5
25	не только в	3	5
26	присутствия в мире	3	5
27	с другой стороны	2	5
28	в свое время	3	4
29	тем не менее	3	4
30	одного и того	2	4
31	не в том	3	4
32	в силу своей	3	4
33	в этом случае	4	4
34	в частности в	2	4
35	в полной мере	3	4
36	и не может	4	4
37	не более чем	4	4
38	и того же	2	4
39	то есть в	2	3
40	одно и то	2	3
41	и то же	2	3
42	содержит в себе	3	3
43	как правило не	2	3
44	более или менее	2	3
45	как уже говорилось	3	3
46	мы имеем дело	7	3
47	в том числе	3	3
48	а не в	3	3
49	в сочетании с	7	3
50	текста а не	3	3
51	по этой причине	2	3
52	того или иного	3	3
53	в обоих случаях	2	3
54	во внешнем мире	2	3
55	в равной степени	2	3
56	то ни было	3	2
57	бы то ни	3	2
58	а не только	2	2
59	сами по себе	3	2
60	прежде всего в	2	2
61	большей или меньшей	4	2
62	далеко не всегда	2	2
63	как ценностного центра	2	2
64	дело не с	2	2
65	так и не	5	2
66	с той или	2	2
67	в начале х	2	2
68	значении этого слова	7	2
69	но и в	3	2
70	в той мере	2	2
71	все того же	2	2
72	мере в какой	2	2
73	и т.д в	2	2
74	упускать из виду	2	2
75	в том и	2	2
76	не удивительно что	2	2
77	я в мире	2	2
78	той мере в	2	2
79	следует понимать как	2	2
80	но отнюдь не	2	2
81	коммуникативного события в	2	2
82	и представляет собой	4	2
83	событие самого рассказывания	2	2
84	в том чтобы	7	2
