N	3gram	Tiupa_Narr	Problemy
1	то же время	7	26
2	в то же	7	26
3	с точки зрения	2	25
4	по отношению к	5	18
5	и т п	2	18
6	к себе самому	3	18
7	не может быть	6	14
8	до сих пор	3	10
9	в самом деле	3	9
10	во всяком случае	2	9
11	и не может	3	8
12	в том что	11	8
13	как бы в	2	7
14	и в то	2	7
15	в отличие от	6	6
16	той или иной	6	5
17	к тому же	8	5
18	подобно тому как	4	5
19	в зависимости от	3	5
20	тем не менее	6	4
21	более или менее	2	4
22	как если бы	2	4
23	о том что	3	4
24	сами по себе	2	4
25	в этом отношении	5	4
26	хотя и не	2	4
27	друг на друга	2	4
28	но при этом	3	3
29	и то же	2	3
30	чужого слова в	2	3
31	в данном случае	12	3
32	на то что	2	3
33	одно и то	2	3
34	не только не	2	3
35	но и не	2	3
36	можно сказать что	5	3
37	то же самое	3	2
38	но и на	2	2
39	не только в	12	2
40	к тому что	4	2
41	в нем не	2	2
42	в этом последнем	2	2
43	дело в том	2	2
44	для того чтобы	4	2
45	в свою очередь	2	2
