N	2gram	Savitsky_P	Hudozhes
1	в качестве	9	31
2	в мире	2	24
3	и в	14	23
4	не только	17	20
5	в том	9	20
6	может быть	5	19
7	в частности	2	18
8	и не	12	16
9	но и	6	14
10	а в	4	13
11	в себе	3	13
12	но не	3	13
13	а не	2	13
14	то же	9	12
15	в этом	10	12
16	как бы	4	11
17	точки зрения	3	11
18	в его	2	11
19	сводится к	3	11
20	но в	9	10
21	не в	5	9
22	том что	4	9
23	не может	4	9
24	с другой	5	9
25	в то	7	8
26	в области	11	8
27	я и	3	7
28	только в	7	7
29	же время	7	7
30	что в	4	7
31	не столько	2	7
32	а также	4	6
33	в нем	3	6
34	в ее	2	6
35	тем самым	3	5
36	могут быть	3	5
37	хх века	2	5
38	для того	3	5
39	со стороны	2	5
40	то что	4	5
41	не менее	2	5
42	прежде всего	3	5
43	того что	2	5
44	в отношении	10	4
45	это не	3	4
46	между тем	3	4
47	в силу	2	4
48	и как	3	4
49	и тем	2	4
50	говорить о	2	4
51	и о	5	4
52	отношения к	2	4
53	например в	2	4
54	в своем	4	4
55	хотя и	3	4
56	в жизни	2	3
57	культуры в	2	3
58	потому что	3	3
59	одной стороны	3	3
60	в русской	4	3
61	том числе	2	3
62	и к	4	3
63	во всех	2	3
64	если бы	4	3
65	как раз	2	3
66	с точки	3	3
67	есть в	2	3
68	во всей	2	3
69	отношении к	5	3
70	в пределах	8	3
71	с одной	3	3
72	одна из	2	2
73	и политического	4	2
74	и это	2	2
75	и потому	4	2
76	мира с	2	2
77	столь же	3	2
78	именно в	2	2
79	тем более	2	2
80	вслед за	3	2
81	отнюдь не	2	2
82	в них	2	2
83	по себе	4	2
84	в порядке	3	2
85	и весьма	2	2
86	все это	2	2
87	с ними	3	2
88	в значительной	2	2
89	xix века	6	2
90	заключается в	3	2
