N	3gram	Voloshinov	slovoVRo
1	не может быть	14	19
2	в то же	6	18
3	то же время	6	18
4	с точки зрения	15	15
5	в узком смысле	2	14
6	в отличие от	2	14
7	в большинстве случаев	5	11
8	с одной стороны	2	11
9	во всяком случае	8	8
10	в зависимости от	4	8
11	но в то	3	7
12	так и в	3	6
13	а вовсе не	3	5
14	в том что	9	5
15	в этом отношении	4	5
16	может быть и	6	5
17	хотя бы и	2	5
18	как мы уже	5	5
19	по отношению к	11	5
20	во всех областях	2	5
21	на первый план	4	4
22	точка зрения на	2	4
23	для того чтобы	3	4
24	таким образом в	2	4
25	а также и	2	4
26	и не может	3	4
27	до сих пор	3	4
28	можно сказать что	5	4
29	в свою очередь	4	4
30	не могут быть	4	4
31	как мы видели	8	3
32	по ту сторону	4	3
33	к тому что	2	3
34	и связанных с	2	3
35	в собственном смысле	3	3
36	в данном случае	4	3
37	выходит за пределы	2	3
38	мы не можем	3	2
39	его отношение к	2	2
40	далеко не всегда	3	2
41	ни в чем	4	2
42	а следовательно и	2	2
43	вовсе не в	2	2
44	не укладывается в	2	2
45	связанных с ними	2	2
46	о том что	3	2
47	обстоит дело и	2	2
48	связанные с этими	2	2
49	с самого начала	5	2
50	в чем не	4	2
51	во всех своих	3	2
52	то или иное	2	2
53	тем не менее	4	2
