N	3gram	Propp_Isto	DiskursI
1	в том что	7	28
2	по отношению к	3	17
3	с одной стороны	11	14
4	не может быть	5	12
5	в данном случае	7	12
6	о том что	9	9
7	как и в	3	7
8	так и в	3	6
9	не только в	9	5
10	с другой стороны	17	5
11	тем не менее	4	4
12	в этом случае	4	4
13	на передний план	2	3
14	более или менее	3	3
15	том что в	2	3
16	во всяком случае	3	3
17	в одной из	2	3
18	на первый взгляд	5	3
19	как в сказании	2	3
20	на том что	2	2
21	как мы видели	3	2
22	в тех случаях	7	2
23	тех случаях когда	6	2
24	не представляет собой	3	2
25	но и в	4	2
26	а в том	2	2
27	в том чтобы	2	2
