N	3gram	Tiupa_Anal	Marksizm
1	с точки зрения	2	46
2	не может быть	2	25
3	в то же	7	15
4	по отношению к	9	15
5	то же время	7	15
6	в том что	12	14
7	в отличие от	5	10
8	одного и того	4	9
9	и того же	4	9
10	с другой стороны	7	7
11	в свою очередь	7	7
12	во всяком случае	6	6
13	всех без исключения	3	6
14	с одной стороны	3	6
15	той или иной	6	5
16	и как бы	2	5
17	в таком случае	2	5
18	в этом отношении	3	5
19	и прежде всего	2	4
20	том что он	2	4
21	можно сказать что	2	4
22	о том что	7	4
23	тем не менее	3	3
24	одной и той	2	3
25	и той же	2	3
26	не только в	5	3
27	но и в	2	3
28	в значительной степени	3	3
29	в той или	2	3
30	внутренней и внешней	2	2
31	по крайней мере	5	2
32	до известной степени	3	2
33	в противном случае	2	2
34	в данном случае	11	2
35	что он не	2	2
36	как и в	6	2
37	к тому же	7	2
38	сама по себе	3	2
39	тот или иной	3	2
40	так или иначе	5	2
41	того или иного	5	2
