N	2gram	Potebnia_M	Stilisti
1	и в	48	42
2	как бы	10	30
3	не только	32	28
4	прежде всего	6	22
5	хотя бы	3	18
6	то же	35	16
7	но и	30	16
8	и не	28	14
9	не может	18	13
10	может быть	46	13
11	как и	22	12
12	точки зрения	4	11
13	что мы	16	11
14	мы уже	5	11
15	в себе	26	10
16	и как	8	10
17	мы должны	6	10
18	в этом	19	10
19	как мы	8	10
20	в то	16	9
21	для того	8	9
22	все же	3	9
23	то что	37	9
24	эти слова	2	9
25	при этом	6	9
26	мы не	17	9
27	тем самым	11	8
28	так как	20	8
29	и это	6	8
30	с тем	9	8
31	слово как	5	8
32	в ней	11	8
33	что же	3	8
34	таким образом	24	8
35	никогда не	2	7
36	другими словами	3	7
37	и от	5	7
38	в которой	9	7
39	мы можем	13	7
40	и той	4	7
41	же время	8	7
42	так и	17	7
43	потому что	82	7
44	только в	29	7
45	а не	22	7
46	и на	5	7
47	того чтобы	5	7
48	было бы	16	7
49	и его	4	7
50	той же	6	7
51	и тем	8	7
52	одно и	7	6
53	когда мы	4	6
54	бы в	3	6
55	не в	24	6
56	в области	3	6
57	говорящего и	3	6
58	в нем	16	6
59	в свою	6	6
60	если б	9	6
61	в процессе	2	6
62	на его	4	6
63	в его	6	6
64	в форме	2	6
65	слова в	7	6
66	в этой	3	6
67	и то	13	5
68	в сознании	36	5
69	независимо от	10	5
70	и следовательно	3	5
71	то есть	53	5
72	что язык	5	5
73	слова и	8	5
74	и наконец	3	5
75	и их	4	5
76	самом деле	5	5
77	а с	4	5
78	мы видели	5	5
79	но все	2	5
80	тому что	6	5
81	а в	14	5
82	но в	8	5
83	те же	6	5
84	в самом	11	5
85	и с	4	5
86	уже в	10	5
87	в той	2	5
88	с точки	3	5
89	же самое	3	5
90	вместе с	22	5
91	да и	2	4
92	что это	6	4
93	слов в	6	4
94	слово не	6	4
95	в одном	4	4
96	так же	6	4
97	так сказать	6	4
98	в словах	3	4
99	на это	4	4
100	его в	6	4
101	на него	3	4
102	если бы	20	4
103	то или	2	4
104	что именно	5	4
105	лишь в	2	4
106	свою очередь	6	4
107	у нас	2	4
108	влияние на	3	4
109	к своему	3	4
110	того что	24	4
111	один из	7	4
112	одной и	6	4
113	и все	5	4
114	в каждом	6	4
115	к тому	9	4
116	о том	7	4
