N	2gram	Berdyaev_N	Narrotol
1	не только	5	62
2	и не	11	50
3	но и	3	45
4	а не	17	38
5	может быть	7	30
6	и в	16	30
7	в том	8	29
8	том что	2	28
9	в этом	7	28
10	а в	2	27
11	такого рода	2	26
12	как и	7	24
13	не в	6	23
14	то что	4	23
15	не может	16	20
16	в себе	2	17
17	так и	2	17
18	но в	2	15
19	к тому	3	15
20	и т.п	2	15
21	в жизни	5	14
22	в своей	3	13
23	времени и	2	13
24	у него	2	13
25	о том	4	13
26	уже не	2	13
27	прежде всего	4	12
28	как в	3	12
29	на протяжении	2	12
30	в нем	5	11
31	жизни в	3	11
32	в мире	3	11
33	хотя и	2	11
34	никогда не	6	10
35	в то	2	10
36	как это	2	10
37	и все	4	10
38	но не	2	10
39	жизни и	8	10
40	с его	6	10
41	еще не	3	9
42	что в	9	9
43	истории в	5	9
44	потому что	4	9
45	не менее	4	8
46	того чтобы	2	8
47	одна из	2	8
48	и для	4	8
49	и к	5	8
50	он не	8	8
51	это не	4	7
52	в ней	5	7
53	в ее	3	7
54	с другой	3	7
55	и на	2	7
56	одной стороны	2	6
57	не могла	2	6
58	сказать что	3	6
59	с одной	2	6
60	место в	2	5
61	мира и	2	5
62	мы не	2	5
63	я не	2	5
64	и от	2	5
65	себя в	2	5
66	с ее	5	5
67	и даже	2	5
68	в центре	2	5
69	подобно тому	3	5
70	но для	2	5
71	тому как	3	5
72	не было	4	5
73	как будто	2	5
74	бытия в	2	4
75	роль в	2	4
76	по своему	4	4
77	в них	4	4
78	она не	3	4
79	не будет	7	4
80	войны и	2	4
81	который в	2	4
82	в основе	3	4
83	хотя бы	2	4
84	это было	3	4
85	не имеет	4	4
86	зависит от	2	4
87	и с	2	4
88	истории не	3	4
89	не существует	3	4
90	к жизни	3	4
91	нового времени	12	4
92	не к	2	4
93	вместе с	2	4
94	и потому	4	3
95	так же	2	3
96	должен быть	5	3
97	к ее	3	3
98	не знает	6	3
99	к ним	3	3
100	и это	2	3
101	же как	2	3
102	все эти	2	3
103	более не	2	3
104	времени в	2	3
105	истории а	2	3
106	все время	2	3
107	я уже	2	3
108	но это	6	3
109	можно было	2	3
110	что она	2	3
111	лишь в	6	3
112	жизни не	3	3
113	жизни как	2	3
114	и что	2	3
115	наряду с	3	3
116	в будущем	2	2
117	быть в	2	2
118	могут быть	2	2
119	быть может	4	2
120	можно назвать	2	2
121	и мы	4	2
122	в россии	3	2
123	другой стороны	2	2
124	должно быть	4	2
125	все это	5	2
126	не есть	3	2
127	и есть	10	2
128	во всех	3	2
129	должна быть	3	2
130	есть в	2	2
131	мир и	2	2
132	в мировой	2	2
133	в категориях	2	2
134	это и	2	2
