N	2gram	Tiupa_Narr	UchenyiS
1	и в	19	14
2	не только	32	10
3	а не	12	10
4	и не	20	8
5	прежде всего	4	8
6	то что	11	7
7	не может	10	7
8	в этом	17	7
9	может быть	25	6
10	и только	2	5
11	то же	4	5
12	хотя бы	4	5
13	в конечном	3	4
14	но и	23	4
15	в этой	5	4
16	конечном счете	2	4
17	с другой	8	4
18	не о	3	3
19	в частности	14	3
20	и т.д	7	3
21	это не	2	3
22	все же	7	3
23	не как	2	3
24	как и	7	3
25	в то	3	3
26	но в	6	3
27	же время	4	3
28	ни было	3	3
29	было бы	4	3
30	в области	2	3
31	бы то	3	3
32	то ни	3	3
33	другой стороны	4	3
34	для него	2	3
35	в себе	8	2
36	что мы	2	2
37	о чем	2	2
38	же не	4	2
39	что он	6	2
40	но не	6	2
41	и для	2	2
42	не все	5	2
43	между тем	3	2
44	самом деле	2	2
45	только в	4	2
46	одним из	2	2
47	в противовес	4	2
48	не есть	3	2
49	ничего не	2	2
50	и с	4	2
51	не случайно	2	2
52	могут быть	3	2
53	на первый	2	2
54	по себе	5	2
55	тем что	3	2
56	том что	14	2
57	в его	9	2
58	сводится к	3	2
59	в том	18	2
60	этом отношении	3	2
61	если не	4	2
62	с его	6	2
63	как раз	2	2
64	должна быть	2	2
65	по существу	2	2
66	не в	14	2
67	не столько	4	2
