N	2gram	Propp_Russ	VelikijI
1	и не	6	20
2	и в	59	16
3	так как	25	9
4	то что	10	9
5	еще не	7	8
6	и потому	3	7
7	на земле	3	7
8	что они	8	7
9	а не	3	7
10	как бы	18	5
11	на себя	4	5
12	но и	20	5
13	все это	12	5
14	хотя и	3	5
15	что есть	2	5
16	того что	6	5
17	что все	2	4
18	и все	4	4
19	как и	19	4
20	в котором	2	4
21	потому что	15	4
22	все что	2	4
23	в нем	3	4
24	в образе	3	4
25	в ней	3	4
26	в его	3	4
27	говорить о	2	4
28	в этом	18	4
29	что он	2	4
30	так и	8	4
31	в жизни	2	3
32	что в	35	3
33	в том	33	3
34	и для	3	3
35	от этого	2	3
36	не имеет	9	3
37	тому что	4	3
38	но в	5	3
39	к тому	4	3
40	их в	7	3
41	но это	5	3
42	должно быть	2	3
43	оно не	2	3
44	во всех	6	3
45	за ним	3	3
46	по этому	4	3
47	в них	10	3
48	как не	2	3
49	в первый	5	3
50	что и	8	3
51	не было	3	3
52	и что	8	3
53	не в	2	3
54	все эти	5	3
55	в этих	3	3
56	тот же	2	3
57	христа в	2	3
58	и то	2	2
59	с тем	14	2
60	они и	2	2
61	одна из	12	2
62	но не	7	2
63	в прошлом	2	2
64	тот кто	2	2
65	ее и	2	2
66	и это	2	2
67	это не	14	2
68	ее в	7	2
69	не только	28	2
70	а в	16	2
71	том что	33	2
72	что от	4	2
73	его к	3	2
74	и во	2	2
75	а к	3	2
76	уже не	9	2
77	могут быть	3	2
78	не к	3	2
79	которые не	3	2
80	значения и	2	2
81	к нам	2	2
82	один из	10	2
83	т д	12	2
84	вера в	2	2
85	для них	5	2
86	того чтобы	6	2
87	тем что	7	2
88	чтобы сделать	2	2
89	мы не	11	2
90	земли и	5	2
91	можно было	3	2
92	только в	4	2
93	до того	3	2
94	и за	2	2
95	в форме	3	2
96	его и	2	2
97	для нас	12	2
98	прежде всего	2	2
99	и т	13	2
100	с ним	2	2
101	между тем	9	2
102	а с	6	2
103	не с	5	2
