N	2gram	Losev_Dial	SlovoVZh
1	не может	16	16
2	точки зрения	25	14
3	может быть	30	14
4	и его	6	13
5	как бы	19	13
6	и в	35	12
7	таким образом	5	12
8	и не	51	10
9	так как	24	9
10	если бы	12	9
11	прежде всего	14	8
12	сказать что	19	7
13	все время	4	6
14	при этом	2	6
15	в том	20	6
16	в нем	25	6
17	только в	7	6
18	в ней	4	6
19	никогда не	18	5
20	как в	3	5
21	что мы	3	5
22	в жизни	3	5
23	в виду	9	5
24	можно сказать	10	5
25	но в	8	5
26	том что	18	5
27	то же	21	5
28	как и	10	5
29	и следовательно	7	5
30	должна быть	5	5
31	хотя бы	6	5
32	а не	24	5
33	то что	25	5
34	и др	2	5
35	отнюдь не	13	5
36	поэтическое произведение	2	5
37	в самом	6	4
38	в этом	18	4
39	не только	26	4
40	на самом	5	4
41	что не	13	4
42	его в	3	4
43	и является	2	4
44	зависимости от	2	4
45	жизни и	9	4
46	не в	12	4
47	ни было	2	4
48	с другой	10	4
49	все же	9	4
50	к нему	12	4
51	за пределы	4	4
52	и к	8	4
53	так и	18	4
54	уже не	3	4
55	от того	2	4
56	отношение к	5	4
57	в них	4	3
58	в поэзии	8	3
59	по себе	39	3
60	в каком	10	3
61	и вообще	10	3
62	о том	8	3
63	и для	2	3
64	или не	5	3
65	да и	11	3
66	не должна	2	3
67	не к	2	3
68	из этого	2	3
69	и уже	4	3
70	ни в	20	3
71	все эти	4	3
72	в котором	5	3
73	так же	6	3
74	в своей	9	3
75	конечно не	9	3
76	точка зрения	3	3
77	в себе	23	3
78	нуждается в	6	3
79	еще не	4	3
80	это как	3	3
81	все это	14	3
82	только на	3	3
83	когда он	2	3
84	между тем	3	3
85	и с	10	3
86	этой точки	2	3
87	бы мы	2	3
88	но для	2	3
89	точек зрения	3	3
90	не менее	5	3
91	сих пор	4	3
92	с ним	9	3
93	до сих	4	3
94	отношении к	3	3
95	быть и	7	3
96	и по	5	3
97	самом деле	6	3
98	и пр	7	3
99	того что	6	3
100	тем не	3	3
101	и более	7	3
102	но и	17	3
103	для него	2	3
104	ясно что	11	3
105	в особенности	6	2
106	вещи и	5	2
107	одно и	8	2
108	и то	15	2
109	мы в	2	2
110	в его	4	2
111	к его	2	2
112	что в	19	2
113	к ним	3	2
114	стороны и	4	2
115	в отношении	5	2
116	в душе	8	2
117	не есть	67	2
118	и притом	7	2
119	ничего не	19	2
120	общего с	6	2
121	как не	4	2
122	но конечно	2	2
123	что и	7	2
124	это не	18	2
125	и все	11	2
126	можно найти	2	2
127	кроме того	2	2
128	с точки	18	2
129	она не	10	2
130	но все	5	2
131	тому же	3	2
132	в своем	7	2
133	на все	2	2
134	все они	2	2
135	в зависимости	2	2
136	в данном	5	2
137	но мы	3	2
138	с другими	2	2
139	независимо от	2	2
140	не остается	2	2
141	мы имеем	4	2
142	ясность и	2	2
143	и что	17	2
144	можем сказать	3	2
145	в то	10	2
146	уже в	5	2
147	смысл и	6	2
148	с этой	3	2
149	в этих	6	2
150	одной стороны	3	2
151	форму и	2	2
152	еще раз	2	2
153	но это	12	2
154	он не	5	2
155	в какой	3	2
156	есть уже	2	2
157	как же	8	2
158	такой же	2	2
159	как только	4	2
160	точку зрения	3	2
161	и потому	6	2
162	оно не	2	2
163	но не	9	2
164	как это	8	2
165	если же	2	2
166	мы можем	5	2
167	была бы	4	2
168	ни на	8	2
169	могут быть	6	2
170	в чем	9	2
171	рождается из	2	2
172	быть только	3	2
173	и так	2	2
174	с одной	4	2
175	относится к	2	2
176	к этому	2	2
177	этой стороны	2	2
178	же самое	3	2
179	тогда когда	6	2
180	и та	8	2
181	но что	10	2
182	другой стороны	7	2
183	в корне	2	2
184	вместе с	3	2
185	на него	2	2
186	и совершенно	4	2
