N	2gram	Bakhtin_Fr	UchenyiS
1	и в	67	14
2	не только	23	10
3	а не	6	10
4	и не	23	8
5	прежде всего	19	8
6	то что	9	7
7	не может	9	7
8	в этом	27	7
9	в искусстве	3	6
10	может быть	4	6
11	перестает быть	3	5
12	и только	2	5
13	то же	18	5
14	хотя бы	2	5
15	все это	15	5
16	но и	23	4
17	в этой	13	4
18	с другой	3	4
19	в их	4	4
20	конечно не	5	4
21	у нас	3	3
22	в частности	4	3
23	для этого	2	3
24	и т.д	2	3
25	это не	5	3
26	и то	2	3
27	в своей	6	3
28	все же	7	3
29	не как	3	3
30	как и	19	3
31	в то	17	3
32	но в	20	3
33	же время	14	3
34	было бы	5	3
35	в области	2	3
36	другой стороны	2	3
37	для него	4	3
38	в самом	7	2
39	в себе	3	2
40	и у	7	2
41	о чем	5	2
42	же не	2	2
43	нас в	4	2
44	на эту	3	2
45	же самое	3	2
46	что он	7	2
47	литературы и	3	2
48	таким образом	20	2
49	формы и	2	2
50	но не	6	2
51	и для	4	2
52	если бы	2	2
53	не все	2	2
54	между тем	3	2
55	самом деле	6	2
56	только в	6	2
57	одним из	7	2
58	что она	4	2
59	ничего не	5	2
60	всех этих	9	2
61	и с	18	2
62	не случайно	3	2
63	что и	8	2
64	на первый	4	2
65	меньшей степени	2	2
66	не могут	3	2
67	это было	4	2
68	превращается в	5	2
69	сих пор	3	2
70	тем что	3	2
71	том что	13	2
72	а как	3	2
73	в сторону	2	2
74	в его	17	2
75	все они	7	2
76	в том	16	2
77	что все	4	2
78	этом отношении	7	2
79	с его	11	2
80	как раз	5	2
81	его и	2	2
82	но это	10	2
83	для всех	4	2
84	по существу	4	2
85	не в	8	2
86	бы и	2	2
87	в конце	12	2
88	в системе	2	2
89	мы не	6	2
90	до сих	3	2
91	не столько	5	2
