N	2gram	Bakhtin_Pr	PoTuStor
1	может быть	38	17
2	и в	59	16
3	и пр	3	12
4	мы можем	3	9
5	в этом	40	9
6	и только	2	9
7	таким образом	22	9
8	прежде всего	17	9
9	и с	10	8
10	точки зрения	36	8
11	совершенно не	2	8
12	не может	31	8
13	и его	21	8
14	сказать что	9	7
15	не только	26	7
16	с его	14	7
17	и это	5	6
18	с точки	21	6
19	конечно не	7	6
20	самом деле	9	6
21	я и	2	6
22	и к	5	6
23	для него	23	6
24	при этом	5	6
25	ту сторону	2	5
26	ни в	5	5
27	все эти	12	5
28	как бы	40	5
29	только для	2	5
30	еще не	11	5
31	в чем	2	5
32	сознание и	7	5
33	отношение к	4	5
34	как мы	10	4
35	и на	15	4
36	все это	12	4
37	на самом	5	4
38	его в	6	4
39	в его	44	4
40	и ее	5	4
41	но и	22	4
42	и не	66	4
43	по ту	2	4
44	и все	4	4
45	но в	7	4
46	с самого	3	4
47	в этой	5	4
48	с ее	5	4
49	и наконец	5	4
50	так как	11	4
51	и их	7	4
52	все что	6	4
53	только в	15	4
54	в нем	38	4
55	а потому	4	4
56	хотя бы	5	4
57	с ними	3	4
58	можно сказать	3	4
59	так и	13	4
60	в один	2	4
61	мысли и	5	4
62	самого начала	4	4
63	и даже	4	4
64	художественного творчества	3	4
65	что в	14	3
66	и притом	3	3
67	жизни и	21	3
68	и оно	2	3
69	и как	10	3
70	и потому	9	3
71	а в	9	3
72	в том	17	3
73	их в	8	3
74	по сравнению	2	3
75	и вот	4	3
76	с другими	11	3
77	между ними	4	3
78	в области	3	3
79	те же	3	3
80	до сих	3	3
81	в основном	2	3
82	крайней мере	3	3
83	и есть	6	3
84	большинстве случаев	3	3
85	в большинстве	3	3
86	сравнению с	2	3
87	в этих	5	3
88	отношения к	4	3
89	с их	9	3
90	как это	2	3
91	то что	21	3
92	во всех	8	3
93	по крайней	3	3
94	мира и	8	3
95	могут быть	5	3
96	сих пор	3	3
97	всяком случае	3	3
98	вместе с	2	3
99	в одном	14	3
100	этом смысле	12	3
101	к себе	2	3
102	во всяком	5	3
103	том что	15	3
104	в основе	6	3
105	один из	4	2
106	никогда не	19	2
107	для нас	3	2
108	что мы	2	2
109	мы видим	5	2
110	есть и	2	2
111	в них	5	2
112	в жизни	7	2
113	кажется что	4	2
114	в каком	2	2
115	к ним	3	2
116	в мир	4	2
117	для этого	4	2
118	же как	5	2
119	и для	5	2
120	и всех	2	2
121	внешний мир	2	2
122	что не	6	2
123	нам кажется	4	2
124	все то	5	2
125	другими словами	2	2
126	и по	4	2
127	что и	10	2
128	не менее	3	2
129	ее в	2	2
130	существует только	2	2
131	было бы	10	2
132	не могут	6	2
133	как не	9	2
134	и других	8	2
135	о том	5	2
136	то же	15	2
137	они не	5	2
138	с этим	2	2
139	как и	21	2
140	что он	16	2
141	современной ему	2	2
142	так же	10	2
143	он ищет	4	2
144	говорить о	3	2
145	потому и	2	2
146	но ведь	4	2
147	в науке	2	2
148	в своей	17	2
149	мы не	3	2
150	себя и	4	2
151	это делает	2	2
152	мир по	2	2
153	ни было	4	2
154	из этих	2	2
155	но как	4	2
156	в самом	19	2
157	находится в	2	2
158	в начале	3	2
159	а может	3	2
160	не на	6	2
161	в частности	2	2
162	войти в	2	2
163	сознания и	9	2
164	он не	11	2
165	у него	9	2
166	своей жизни	2	2
167	за счет	2	2
168	во всей	2	2
169	для меня	2	2
170	и о	5	2
171	оно не	2	2
172	не есть	2	2
173	за пределы	10	2
174	к этому	6	2
175	из тех	3	2
176	его целом	8	2
177	нет и	4	2
178	и через	2	2
179	можем сказать	2	2
180	поэтому и	3	2
181	не знает	5	2
182	в пределах	13	2
183	что оно	2	2
184	и т.п	8	2
185	и этим	2	2
186	есть в	10	2
187	в этот	2	2
188	мы уже	4	2
189	только то	3	2
190	с ним	13	2
191	на протяжении	3	2
192	характерно для	2	2
193	но это	7	2
