N	3gram	Tiupa_Anal	Komedia
1	в том что	12	29
2	к тому же	7	21
3	то же время	7	16
4	в то же	7	16
5	о том что	7	13
6	в свою очередь	7	10
7	едва ли не	3	10
8	по отношению к	9	9
9	с одной стороны	3	9
10	речь идет о	2	8
11	с другой стороны	7	8
12	во всяком случае	6	7
13	так или иначе	5	7
14	с точки зрения	2	6
15	тому же в	2	6
16	в отличие от	5	6
17	что он не	2	5
18	в этом отношении	3	5
19	том что он	2	5
20	в ответ на	2	5
21	тем не менее	3	5
22	в соответствии с	2	3
23	но и в	2	3
24	не более чем	2	3
25	состоит в том	2	3
26	по своему происхождению	2	3
27	подобно тому как	3	2
28	в одной из	2	2
29	не только в	5	2
30	в основе своей	2	2
31	при этом что	2	2
32	одних и тех	2	2
33	и тех же	2	2
34	так и не	5	2
35	в конечном счете	5	2
36	как и в	6	2
