N	3gram	Bakhtin_Pr	DiskursI
1	в том что	6	28
2	в отличие от	4	26
3	по отношению к	12	17
4	не может быть	8	12
5	в данном случае	2	12
6	то же время	13	10
7	о том что	2	9
8	в то же	13	8
9	в этом отношении	3	8
10	как и в	3	7
11	по крайней мере	2	6
12	так и в	2	6
13	с точки зрения	21	6
14	к тому же	2	6
15	но при этом	2	5
16	подобно тому как	3	5
17	не только в	2	5
18	с другой стороны	6	5
19	тем не менее	2	4
20	можно сказать что	2	4
21	и не может	6	4
22	более или менее	4	3
23	во всяком случае	4	3
24	как и всякое	2	3
25	то ни было	2	2
26	а не как	5	2
27	к себе самому	4	2
28	бы то ни	3	2
29	сами по себе	4	2
30	все то что	3	2
31	большей или меньшей	2	2
32	точка зрения на	2	2
33	до настоящего времени	2	2
34	в большинстве случаев	10	2
35	в том и	2	2
36	только то что	2	2
37	к чужому слову	6	2
38	и в то	2	2
39	все же не	3	2
40	как и все	4	2
41	в одном из	2	2
