N	3gram	Bakhtin_Fr	Myslijsy
1	в том что	6	47
2	по отношению к	2	26
3	не может быть	5	19
4	там же с	2	15
5	то же время	5	13
6	в то же	5	13
7	во всяком случае	2	12
8	до сих пор	7	12
9	подобно тому как	2	11
10	для того чтобы	2	11
11	с одной стороны	2	10
12	о том что	3	9
13	но и в	5	9
14	не могут быть	2	9
15	на самом деле	2	8
16	так и в	3	8
17	как бы ни	2	8
18	можно сказать что	3	7
19	не только в	5	7
20	с точки зрения	6	7
21	и в том	2	7
22	в этом отношении	5	4
23	что касается до	2	4
24	в собственном смысле	3	4
25	на этот вопрос	2	4
26	дело в том	2	4
27	то есть в	5	3
28	в применении к	3	3
29	в большинстве случаев	2	3
30	до известной степени	2	3
31	его связь с	4	2
32	и во всех	2	2
33	даже и в	4	2
34	и в других	2	2
35	но не только	2	2
36	в свое время	5	2
37	как мы видели	2	2
38	и не может	2	2
39	но все же	3	2
