N	2gram	Tiupa_Teor	Vladivir
1	и в	24	116
2	то что	6	71
3	и не	17	67
4	в году	2	65
5	не только	24	65
6	у него	2	65
7	в этом	12	53
8	в том	20	52
9	том что	11	51
10	что в	10	48
11	но и	14	47
12	в конце	2	41
13	в его	12	40
14	то есть	22	37
15	сказать что	4	36
16	и даже	2	36
17	потому что	3	33
18	еще и	2	32
19	что он	4	32
20	не может	8	31
21	о том	2	30
22	только в	9	30
23	никогда не	4	29
24	для него	5	29
25	вовсе не	3	27
26	а в	15	27
27	в то	9	25
28	но в	12	25
29	в себе	14	25
30	и то	3	25
31	и его	11	25
32	а также	7	24
33	точки зрения	11	23
34	может быть	22	23
35	он не	5	23
36	об этом	2	22
37	ни в	5	22
38	в своей	8	21
39	вместе с	2	21
40	а именно	3	20
41	в своем	7	20
42	прежде всего	3	20
43	и что	4	20
44	и потому	3	19
45	так и	14	19
46	не менее	6	19
47	как раз	3	19
48	таким образом	3	19
49	тем не	3	19
50	не в	9	18
51	как это	10	18
52	как и	6	18
53	хотя и	4	18
54	с его	6	18
55	что и	2	17
56	в этой	3	17
57	у нас	2	17
58	а не	14	17
59	уже не	6	16
60	того что	5	16
61	к тому	4	16
62	для себя	3	16
63	в связи	3	15
64	это было	2	15
65	несмотря на	2	15
66	то же	12	15
67	и к	3	15
68	того же	4	14
69	все эти	3	14
70	и как	3	14
71	и на	2	14
72	так же	2	13
73	можно сказать	5	13
74	дело в	2	13
75	не просто	2	13
76	только на	2	12
77	в нем	7	12
78	и по	3	12
79	связи с	3	12
80	то в	2	12
81	и это	2	12
82	по себе	2	12
83	в отношении	4	11
84	или менее	6	11
85	и о	5	11
86	я не	2	11
87	при этом	20	11
88	все это	2	11
89	в данном	9	11
90	в которой	3	11
91	и здесь	2	11
92	более или	6	11
93	даже в	3	10
94	такого рода	13	10
95	собственно говоря	2	10
96	к нему	2	10
97	в качестве	33	10
98	еще не	6	10
99	но не	13	10
100	в самом	7	10
101	отнюдь не	3	10
102	он и	2	10
103	с точки	3	10
104	здесь не	2	10
105	это не	4	9
106	для меня	2	9
107	но как	2	9
108	о чем	3	9
109	и притом	3	9
110	а с	3	9
111	а только	4	9
112	своей жизни	2	9
113	в целом	4	9
114	и сам	4	9
115	с другой	9	9
116	не будет	3	9
117	именно в	3	9
118	этом смысле	3	9
119	же время	8	9
120	отношения к	4	9
121	но он	4	9
122	только и	2	8
123	отношение к	7	8
124	не столько	7	8
125	xix века	2	8
126	в чем	2	8
127	себя в	7	8
128	как бы	8	8
129	из этих	3	8
130	с этой	3	8
131	в этих	4	8
132	как в	5	8
133	и для	3	8
134	со стороны	6	8
135	и особенно	2	8
136	в каком	2	7
137	к его	3	7
138	а а	5	7
139	того чтобы	5	7
140	о его	2	7
141	здесь мы	2	7
142	за пределы	2	7
143	если бы	3	7
144	и вот	3	7
145	в одном	3	7
146	в таком	3	7
