N	2gram	Trubetskoy	formyVre
1	и в	14	148
2	в этом	17	73
3	в нем	5	51
4	прежде всего	8	46
5	и т	3	40
6	и не	19	37
7	в его	4	36
8	но и	10	33
9	то же	11	32
10	не только	9	32
11	но в	2	31
12	жизни и	4	31
13	может быть	9	27
14	не в	4	26
15	как и	4	25
16	как бы	4	25
17	мы уже	2	24
18	точки зрения	11	24
19	в то	10	23
20	только в	5	23
21	то что	13	22
22	в том	17	22
23	жизни в	5	21
24	все эти	2	21
25	связи с	3	21
26	во всех	5	21
27	же время	10	21
28	в своем	6	19
29	и для	6	19
30	и на	5	19
31	у него	2	18
32	по существу	5	18
33	еще не	3	18
34	таким образом	11	18
35	с этим	2	17
36	при этом	5	17
37	так как	4	17
38	все же	4	16
39	и во	3	16
40	не может	22	16
41	никогда не	5	15
42	лишь в	3	15
43	с точки	9	15
44	вместе с	4	15
45	так же	2	14
46	все это	6	14
47	всех этих	3	14
48	и как	3	14
49	в конце	3	14
50	и с	7	14
51	а не	2	14
52	в их	4	13
53	в частности	2	13
54	а в	5	13
55	с другом	14	13
56	того чтобы	8	13
57	во время	2	13
58	друг с	14	13
59	для того	6	13
60	в котором	2	13
61	в самом	3	13
62	с ним	2	13
63	отнюдь не	7	12
64	не было	3	12
65	время в	2	12
66	конечно не	5	12
67	и наконец	2	12
68	но не	4	12
69	потому что	5	12
70	он не	5	12
71	что в	4	12
72	его в	4	11
73	в ней	2	11
74	ни в	2	11
75	из них	3	11
76	сих пор	5	10
77	уже не	2	10
78	в большинстве	3	10
79	до сих	5	10
80	к себе	2	9
81	на этой	2	9
82	в других	2	9
83	том что	9	9
84	должно быть	3	9
85	и даже	2	9
86	для него	6	9
87	их в	2	9
88	отношения к	2	9
89	или иной	5	8
90	для себя	2	8
91	и потому	3	8
92	к тому	7	8
93	большинстве случаев	2	8
94	что и	3	8
95	во всяком	9	8
96	и то	4	8
97	в результате	2	8
98	и по	3	8
99	если бы	6	8
100	в этих	2	8
101	в мире	4	8
102	и к	6	8
103	в некоторых	2	8
104	для всех	6	7
105	в себе	9	7
106	том же	2	7
107	того что	3	7
108	между собой	5	7
109	место в	2	7
110	было бы	5	7
111	себя и	5	7
112	из этих	3	7
113	ее в	2	7
114	все они	3	6
115	не могут	4	6
116	есть и	2	6
117	с самим	2	6
118	друг от	2	6
119	одной из	3	6
120	с тем	6	6
121	в качестве	3	6
122	в начале	2	6
123	мы можем	2	6
124	только для	2	6
125	о том	7	6
126	именно в	3	6
127	все что	4	6
128	от друга	2	6
129	бы ни	2	6
130	в таком	2	6
131	в совершенно	4	6
132	следовательно и	2	5
133	он должен	5	5
134	только на	2	5
135	так что	2	5
136	и ни	3	5
137	что все	3	5
138	той или	3	5
139	что они	3	5
140	в этой	4	5
141	и от	2	5
142	хотя бы	5	5
143	в своей	5	5
144	в порядке	2	5
145	тем что	3	5
146	борьбе с	3	5
147	всем этим	2	5
148	и является	2	5
149	да и	3	5
150	или в	3	5
151	и только	5	5
152	мы должны	7	4
153	от него	2	4
154	по себе	2	4
155	по отношению	2	4
156	их к	2	4
157	в другом	3	4
158	друг друга	3	4
159	и т.д	4	4
160	и при	6	4
161	проявляется в	2	4
162	что он	6	4
163	и о	2	4
164	о которых	3	4
165	людей и	2	4
166	к вопросу	4	4
167	вопросу о	3	4
168	и те	2	4
169	для них	3	4
170	в корне	4	4
171	быть и	2	4
172	в данном	7	4
173	и вот	2	4
174	себе и	4	4
175	и более	2	4
176	этом случае	3	4
177	в своих	6	4
178	несмотря на	3	4
179	всяком случае	6	4
180	а следовательно	3	4
181	друг другу	2	4
182	во всем	4	4
183	вопрос о	5	3
184	но мы	3	3
185	точку зрения	4	3
186	тому что	2	3
187	она не	2	3
188	культуры в	3	3
189	но это	2	3
190	из всех	2	3
191	одна из	3	3
192	но она	2	3
193	если они	2	3
194	только к	3	3
195	в значительной	3	3
196	в таких	2	3
197	целый ряд	2	3
198	другом и	2	3
199	на земле	4	3
200	совершенно не	2	3
201	как на	8	3
202	его и	2	3
203	в течение	2	3
204	ни к	7	3
205	их не	2	3
206	говорили в	2	3
207	на почве	2	3
208	если не	2	3
209	главным образом	3	3
210	которой он	4	3
211	в борьбе	2	3
212	и есть	2	3
213	не к	2	3
214	мы говорили	3	3
215	по самому	2	3
216	не о	2	2
217	данном случае	3	2
218	самим собой	12	2
219	на себя	2	2
220	приходит к	3	2
221	если в	6	2
222	бы нас	2	2
223	ясностью и	2	2
224	бы его	2	2
225	мира от	3	2
226	самом деле	7	2
227	и вместе	2	2
228	весьма часто	2	2
229	к нему	2	2
230	от этой	2	2
231	все члены	2	2
232	отношении к	2	2
233	себя как	2	2
234	по этому	2	2
235	с нею	3	2
236	отметить что	2	2
237	значительной мере	2	2
238	даже не	2	2
239	к данному	2	2
240	самому своему	2	2
241	то в	3	2
242	и тогда	2	2
243	себя в	4	2
244	о котором	3	2
245	отличается от	2	2
246	и тот	2	2
247	себя на	2	2
248	для нас	2	2
249	когда они	4	2
250	но если	3	2
251	должна быть	2	2
252	не можем	2	2
253	культуры и	2	2
254	и должно	2	2
255	в единое	2	2
256	этот вопрос	2	2
257	но для	2	2
258	тогда когда	4	2
259	разумеется что	2	2
260	он сам	3	2
261	говорить о	3	2
262	является не	2	2
263	всю эту	2	2
264	если же	2	2
265	в другое	4	2
266	ясно что	2	2
