N	2gram	Berdyaev_M	Tragedij
1	и в	61	18
2	петра верховенского	2	17
3	в бесах	8	9
4	в этом	34	9
5	не только	42	8
6	и не	26	7
7	достоевский в	7	7
8	петр верховенский	4	7
9	он сам	11	7
10	и на	9	7
11	как бы	10	7
12	и с	6	7
13	может быть	42	7
14	что он	16	6
15	но в	12	6
16	и его	13	6
17	в образе	4	6
18	у него	38	6
19	это очень	3	5
20	у достоевского	75	5
21	что это	5	5
22	все же	2	5
23	это не	10	5
24	то же	4	5
25	как и	14	5
26	так и	5	5
27	не может	39	5
28	в то	2	5
29	что в	12	4
30	но и	34	4
31	прежде всего	18	4
32	об этом	2	4
33	том что	7	4
34	в этой	12	4
35	и что	4	4
36	так же	5	4
37	и все	13	4
38	все это	6	4
39	в нем	26	4
40	то что	10	4
41	достоевский не	9	4
42	но это	8	4
43	что достоевский	4	4
44	я не	4	4
45	но достоевский	2	4
46	в себе	12	4
47	один из	9	3
48	что за	2	3
49	и как	3	3
50	в мире	12	3
51	уже в	6	3
52	записках из	2	3
53	к нему	8	3
54	в своем	17	3
55	в его	10	3
56	сам достоевский	4	3
57	все эти	3	3
58	достоевского в	10	3
59	ставрогина и	2	3
60	мог бы	5	3
61	и он	21	3
62	о чем	3	3
63	как будто	4	3
64	никто не	3	3
65	должно быть	5	3
66	как в	9	3
67	жизнь и	5	3
68	для него	28	3
69	то есть	3	3
70	в конце	11	3
71	с ним	5	3
72	никогда не	30	2
73	в самом	15	2
74	и то	2	2
75	ивана карамазова	10	2
76	до конца	16	2
77	с тем	10	2
78	друг друга	12	2
79	тем что	7	2
80	в записках	2	2
81	вопрос о	7	2
82	любви и	3	2
83	его в	6	2
84	не имеет	7	2
85	ничего не	4	2
86	нет в	5	2
87	ставрогина к	2	2
88	не могут	6	2
89	в ее	3	2
90	но эта	2	2
91	что все	5	2
92	вряд ли	3	2
93	к тому	6	2
94	а как	2	2
95	о том	5	2
96	что и	6	2
97	ни в	3	2
98	не в	16	2
99	это был	2	2
100	для достоевского	11	2
101	веру в	5	2
102	и здесь	6	2
103	потому что	25	2
104	человеческой личности	11	2
105	было в	3	2
106	настасья филипповна	4	2
107	и я	5	2
108	как у	2	2
109	так что	3	2
110	он не	34	2
111	и ее	2	2
112	и за	2	2
113	бы и	8	2
114	в самую	5	2
115	уже не	8	2
116	из самых	9	2
117	что она	5	2
118	устремлен к	2	2
119	этими двумя	2	2
120	и это	16	2
121	говорит что	3	2
122	личности и	3	2
123	русской литературы	5	2
124	не так	6	2
125	в преступлении	3	2
126	в том	9	2
127	романах достоевского	2	2
128	достоевским в	5	2
129	не был	8	2
130	не мог	6	2
131	еще в	4	2
132	он и	2	2
133	с его	6	2
134	он был	18	2
135	зла в	4	2
136	отношение к	9	2
