N	3gram	Losev_Prob	Dialekti
1	это значит что	2	47
2	с точки зрения	13	46
3	по крайней мере	8	26
4	сама по себе	2	26
5	в том что	13	25
6	не может быть	2	18
7	не что иное	3	18
8	что иное как	3	18
9	тем не менее	8	16
10	сам по себе	3	16
11	в то же	2	14
12	в таком случае	2	14
13	только тогда когда	3	13
14	о том что	14	12
15	с другой стороны	7	12
16	на то что	2	11
17	вовсе не есть	2	9
18	это и есть	2	9
19	в то время	4	8
20	в этом смысле	4	8
21	то время как	4	8
22	той или иной	4	7
23	говоря уже о	2	7
24	можно сказать что	4	7
25	не говоря уже	2	7
26	и в частности	4	7
27	точно так же	4	7
28	в связи с	11	7
29	так или иначе	3	7
30	в коем случае	3	6
31	и прежде всего	2	6
32	крайней мере в	3	6
33	для того чтобы	3	6
34	во всяком случае	6	6
35	ни в коем	3	6
36	с одной стороны	5	6
37	в сравнении с	4	6
38	не имеет ничего	2	5
39	то и другое	5	5
40	на самом деле	2	5
41	в конце концов	7	5
42	ничего общего с	2	5
43	имеет ничего общего	2	5
44	до сих пор	3	5
45	в том смысле	2	5
46	потому что он	2	5
47	то же самое	2	4
48	может быть только	6	4
49	в данном случае	5	4
50	этой точки зрения	2	4
51	с этой точки	2	4
52	но даже и	4	4
53	и ни в	2	4
54	к тому же	5	4
55	ни в чем	2	4
56	по себе а	2	4
57	в этом отношении	4	4
58	можно было бы	2	4
59	уже по одному	2	4
60	равно как и	2	4
61	бы то ни	4	3
62	и как бы	2	3
63	но в то	2	3
64	мы находим в	3	3
65	с самого начала	3	3
66	хотя и не	3	3
67	не только в	5	3
68	ни в какой	4	3
69	как будто бы	3	3
70	но все же	2	3
71	того или иного	2	3
72	тех или иных	2	3
73	в той или	2	3
74	жизни и в	2	2
75	не менее в	2	2
76	не в силах	3	2
77	для нас в	2	2
78	как это мы	2	2
79	это не имеет	2	2
80	а именно в	3	2
81	в чем не	2	2
82	и не в	2	2
83	тут перед нами	2	2
84	в это время	3	2
85	вот тут-то и	2	2
86	далеко не всегда	3	2
87	потому что они	2	2
88	но ясно что	3	2
89	в нем и	2	2
90	дело в том	4	2
91	что в данном	2	2
92	ни в каких	3	2
93	нет никакой мифологии	2	2
94	в свою очередь	2	2
95	это и не	2	2
96	и вместе с	3	2
97	и то что	3	2
