N	3gram	Losev_Prob	RusskieA
1	в том что	13	49
2	тем не менее	8	14
3	вместе с тем	5	11
4	о том что	14	10
5	в том чтобы	2	9
6	в данном случае	5	8
7	для того чтобы	3	8
8	в настоящее время	7	7
9	в это время	3	6
10	по этому поводу	4	6
11	не может быть	2	6
12	после того как	3	6
13	в связи с	11	5
14	не что иное	3	4
15	во всяком случае	6	4
16	в то время	4	4
17	можно было бы	2	4
18	только тогда когда	3	4
19	мы не будем	3	4
20	что иное как	3	4
21	бросается в глаза	2	4
22	и потому что	2	3
23	по отношению к	2	3
24	с точки зрения	13	3
25	до некоторой степени	4	3
26	до сих пор	3	3
27	все же не	3	3
28	на то что	2	3
29	в свою очередь	2	3
30	на самом деле	2	2
31	из земли и	2	2
32	потому что он	2	2
33	можно сказать что	4	2
34	в этом отношении	4	2
35	для нас не	2	2
36	не только в	5	2
37	ничего общего с	2	2
38	с одной стороны	5	2
39	а именно в	3	2
40	может быть только	6	2
41	с другой стороны	7	2
42	но все же	2	2
43	в настоящей работе	2	2
44	равно как и	2	2
