N	3gram	Bakhtin_fo	Formalny
1	с точки зрения	9	40
2	не может быть	4	29
3	то же время	13	20
4	в то же	10	20
5	и т д	3	19
6	и т п	18	18
7	в связи с	12	16
8	по отношению к	3	12
9	в этом отношении	5	11
10	в его целом	2	10
11	в большинстве случаев	2	9
12	для того чтобы	11	8
13	до сих пор	4	8
14	вместе с тем	3	8
15	с одной стороны	3	8
16	сами по себе	2	7
17	и в этом	2	7
18	может быть и	4	6
19	в данном случае	2	6
20	и в то	7	6
21	с тем что	2	6
22	в том что	4	6
23	прежде всего в	3	5
24	связи с этим	4	5
25	одной стороны и	2	5
26	в отличие от	3	5
27	в этом романе	2	5
28	как раз и	2	4
29	бы она ни	2	4
30	все более и	2	4
31	она ни была	2	4
32	в последнем счете	3	4
33	с самого начала	3	4
34	и до конца	2	4
35	вовсе не является	2	4
36	но и в	5	4
37	более и более	2	4
38	но все же	3	4
39	в ее целом	2	4
40	на первый план	2	3
41	но в то	2	3
42	друг с другом	5	3
43	между этими двумя	3	3
44	в том числе	7	3
45	какова бы она	2	3
46	как мы увидим	2	3
47	так сказать в	2	3
48	быть и речи	2	3
49	том числе и	4	3
50	и в частности	2	3
51	равно как и	4	3
52	мы имеем в	2	2
53	все то что	2	2
54	и прежде всего	4	2
55	в строгом смысле	2	2
56	в виду что	2	2
57	в широком смысле	3	2
58	не было и	2	2
59	так же как	2	2
60	одних и тех	2	2
61	может быть только	3	2
62	лежит в основе	2	2
63	как и в	3	2
64	но в этом	2	2
65	как если бы	2	2
66	друг от друга	2	2
67	не только в	6	2
68	ни в чем	3	2
69	о том как	2	2
70	и в других	4	2
71	со всех сторон	2	2
72	и тех же	2	2
73	роль в истории	2	2
74	но все эти	2	2
75	дело в том	2	2
76	имеем в виду	3	2
