N	3gram	Bakhtin_KF	Problemy
1	то же время	2	26
2	в то же	2	26
3	с точки зрения	10	25
4	по отношению к	22	18
5	в этом смысле	3	16
6	на самом деле	3	15
7	не может быть	11	14
8	в его целом	10	8
9	в том что	2	8
10	бы то ни	2	7
11	и в этом	3	7
12	то ни было	2	6
13	между тем как	3	6
14	бы он ни	2	5
15	той или иной	2	5
16	и в нем	2	5
17	он ни был	2	5
18	тем не менее	2	4
19	то что я	2	3
20	он может быть	2	2
21	мира в его	2	2
22	одна и та	2	2
23	а не в	2	2
24	и та же	2	2
25	в чем не	4	2
26	во всей его	2	2
27	и только в	3	2
28	раз и навсегда	2	2
29	я и другого	2	2
30	в нем и	3	2
31	ни в чем	4	2
32	в нем как	4	2
33	отношению к нему	4	2
34	но все эти	3	2
