N	2gram	Ircho_Kome	formyVre
1	и в	40	148
2	в этом	9	73
3	в нем	8	51
4	прежде всего	8	46
5	и т	11	40
6	и не	19	37
7	в его	8	36
8	и его	17	36
9	вовсе не	3	35
10	но и	14	33
11	то же	7	32
12	т п	7	32
13	не только	12	32
14	в литературе	2	32
15	но в	6	31
16	жизни и	4	31
17	так и	17	29
18	времени в	2	27
19	может быть	16	27
20	не в	8	26
21	как мы	5	26
22	как и	12	25
23	как бы	3	25
24	точки зрения	7	24
25	в то	14	23
26	человека в	2	23
27	времени и	2	23
28	только в	6	23
29	то что	8	22
30	в том	19	22
31	связи с	3	21
32	во всех	4	21
33	же время	5	21
34	в своем	6	19
35	и для	4	19
36	и на	9	19
37	у него	6	18
38	и все	4	18
39	еще не	7	18
40	таким образом	13	18
41	с этим	5	17
42	при этом	5	17
43	так как	6	17
44	все же	7	16
45	того же	4	16
46	и во	4	16
47	в связи	3	16
48	не может	3	16
49	и их	3	16
50	в них	7	15
51	в одном	10	15
52	с его	4	15
53	вместе с	8	15
54	так же	4	14
55	все это	7	14
56	и как	3	14
57	в конце	7	14
58	и с	8	14
59	как раз	4	14
60	роль в	2	13
61	в их	6	13
62	в частности	7	13
63	а в	9	13
64	здесь в	4	13
65	того чтобы	4	13
66	же в	7	13
67	во время	11	13
68	для того	3	13
69	как в	8	13
70	в котором	6	13
71	в самом	5	13
72	ничего не	4	12
73	отнюдь не	2	12
74	в истории	10	12
75	но не	3	12
76	потому что	8	12
77	это время	5	12
78	он не	5	12
79	что в	12	12
80	его в	6	11
81	и у	3	11
82	в образе	4	11
83	в ней	2	11
84	хотя и	6	11
85	ни в	9	11
86	из них	16	11
87	уже в	9	11
88	в ее	2	10
89	тот же	5	10
90	и другие	3	10
91	сих пор	3	10
92	в большинстве	2	10
93	до сих	3	10
94	могут быть	3	9
95	и других	7	9
96	всего в	5	9
97	в других	3	9
98	и следовательно	2	9
99	жизнь и	2	9
100	наряду с	7	9
101	том что	19	9
102	и даже	5	9
103	мира в	5	9
104	и это	3	9
105	с другой	7	9
106	на протяжении	14	9
107	но все	4	9
108	в самой	2	9
109	до конца	3	8
110	это не	2	8
111	для себя	2	8
112	к тому	15	8
113	отношение к	3	8
114	том числе	4	8
115	в целом	6	8
116	большинстве случаев	2	8
117	один из	9	8
118	что и	10	8
119	здесь и	2	8
120	во всяком	4	8
121	здесь мы	3	8
122	а также	5	8
123	время как	6	8
124	в результате	5	8
125	и по	6	8
126	если бы	4	8
127	в этих	5	8
128	отношению к	5	8
129	с одной	5	8
130	в мире	3	8
131	связанные с	2	8
132	и к	2	8
133	в виду	2	8
134	для всех	5	7
135	в себе	3	7
136	связанных с	2	7
137	за счет	3	7
138	отличие от	4	7
139	в той	2	7
140	место в	7	7
141	было бы	8	7
142	к этому	8	7
143	из этих	5	7
144	в которой	9	7
145	с ее	2	7
146	т д	4	7
147	этом отношении	3	7
148	ее в	2	7
149	в отличие	3	7
150	еще более	2	7
151	то время	8	7
152	в форме	2	7
153	в себя	3	7
154	но он	2	7
155	в отношении	6	6
156	и ее	5	6
157	друг от	2	6
158	одной из	6	6
159	с тем	5	6
160	в античном	2	6
161	ту же	2	6
162	одной стороны	5	6
163	ни одного	2	6
164	в качестве	8	6
165	до нас	9	6
166	тех же	4	6
167	в начале	7	6
168	за пределы	2	6
169	мы не	4	6
170	мы можем	6	6
171	мы находим	2	6
172	в сущности	3	6
173	не является	2	6
174	нет и	2	6
175	о том	12	6
176	именно в	5	6
177	все что	3	6
178	время и	3	6
179	от друга	2	6
180	о чем	2	5
181	по своей	2	5
182	только на	2	5
183	так что	6	5
184	в какой-то	3	5
185	от этого	2	5
186	с ними	2	5
187	что они	4	5
188	всего этого	2	5
189	в этой	9	5
190	и от	2	5
191	хотя бы	2	5
192	в своей	3	5
193	в это	3	5
194	протяжении всего	3	5
195	об этом	2	5
196	в порядке	2	5
197	тем что	5	5
198	с этой	3	5
199	чаще всего	3	5
200	но они	2	5
201	да и	5	5
202	мы встречаем	5	5
203	и уже	2	5
204	или в	5	5
205	нового времени	7	5
206	той же	3	5
207	даже в	3	4
208	так в	6	4
209	из того	2	4
210	по себе	2	4
211	по отношению	5	4
212	их к	3	4
213	в другом	5	4
214	затем в	2	4
215	которых мы	2	4
216	друг друга	2	4
217	что он	11	4
218	и о	3	4
219	как он	2	4
220	о которых	6	4
221	в один	2	4
222	не являются	2	4
223	античной литературы	5	4
224	жизни так	2	4
225	в чем	3	4
226	другой стороны	6	4
227	на его	5	4
228	совсем не	2	4
229	для них	2	4
230	а затем	4	4
231	он был	4	4
232	из самых	2	4
233	принадлежит к	2	4
234	в новое	2	4
235	к концу	3	4
236	только что	2	4
237	и вот	4	4
238	у нас	3	4
239	по всему	3	4
240	или на	2	4
241	и более	2	4
242	раз в	2	4
243	см например	2	4
244	в своих	2	4
245	по всем	2	4
246	со своей	3	4
247	случая и	2	4
248	несмотря на	5	4
