N	3gram	Losev_Vlad	RusskieA
1	в том что	13	49
2	и т д	3	21
3	тем не менее	8	14
4	вместе с тем	2	11
5	о том что	9	10
6	том что в	3	9
7	в том чтобы	4	9
8	но это не	2	8
9	для того чтобы	3	8
10	в настоящее время	2	7
11	как мы увидим	2	7
12	в это время	5	6
13	по этому поводу	2	6
14	не может быть	4	6
15	после того как	2	6
16	в связи с	7	5
17	не что иное	2	4
18	во всяком случае	8	4
19	в то время	6	4
20	как мы уже	3	4
21	что иное как	2	4
22	и потому что	3	3
23	более или менее	5	3
24	до некоторой степени	2	3
25	и в том	2	3
26	до тех пор	2	3
27	у нас нет	2	3
28	на то что	6	3
29	в свою очередь	2	3
30	тех пор пока	2	3
31	к этому времени	3	2
32	можно сказать что	3	2
33	в этом отношении	2	2
34	мы увидим ниже	4	2
35	не только в	3	2
36	с другой стороны	3	2
37	можно судить по	6	2
