N	2gram	Tiupa_Vved	Mirosoze
1	и в	23	97
2	может быть	25	64
3	не только	32	63
4	в этом	27	55
5	но и	31	54
6	он не	6	53
7	а не	31	53
8	в нем	9	49
9	не может	14	49
10	у него	8	47
11	и не	24	39
12	никогда не	6	38
13	потому что	7	37
14	в ней	5	37
15	не было	5	36
16	не в	12	34
17	и есть	2	33
18	для него	5	31
19	человека в	2	30
20	не есть	2	30
21	но он	2	30
22	прежде всего	11	29
23	как и	21	29
24	но в	14	27
25	и он	4	27
26	в мире	9	27
27	и это	2	25
28	в своей	10	25
29	и все	8	24
30	у нас	4	24
31	в своем	9	23
32	ведет к	2	23
33	что в	6	23
34	что он	2	22
35	в самом	6	21
36	в себе	15	20
37	отношение к	5	20
38	до конца	5	19
39	как бы	8	19
40	в его	9	18
41	и потому	2	17
42	того что	7	17
43	в том	21	16
44	том что	16	16
45	то что	9	16
46	было бы	4	16
47	и его	9	16
48	в этой	2	15
49	не знает	2	15
50	в котором	11	15
51	нет ничего	2	14
52	в конце	3	14
53	человек в	4	14
54	и вот	3	13
55	и на	5	13
56	это не	7	12
57	и у	2	12
58	к нему	2	12
59	в них	4	12
60	все это	3	12
61	но не	9	12
62	но это	4	11
63	хотя бы	2	11
64	только в	9	11
65	как в	8	11
66	и для	8	11
67	уже не	7	11
68	и к	2	11
69	жизни и	8	11
70	так же	2	10
71	один из	3	10
72	должна быть	3	10
73	то же	8	10
74	не имеет	3	10
75	бы и	4	9
76	а в	15	9
77	к тому	9	9
78	что и	6	9
79	и во	2	9
80	то есть	13	9
81	все что	3	9
82	в свою	5	9
83	с ним	3	9
84	лишь в	4	9
85	не мог	2	9
86	вместе с	2	9
87	ничего не	3	8
88	в этих	5	8
89	они не	3	8
90	мира и	5	8
91	что не	2	8
92	того чтобы	2	8
93	себя в	4	8
94	тем что	2	8
95	о том	7	8
96	и с	2	8
97	еще в	3	8
98	уже в	2	8
99	те же	2	7
100	как он	2	7
101	высшей степени	2	7
102	должен быть	3	7
103	мог бы	2	7
104	что она	2	7
105	в высшей	2	7
106	жизни в	5	7
107	в жизни	7	7
108	также и	6	7
109	не существует	3	7
110	в нашем	9	7
111	не могу	2	7
