N	2gram	Bakhtin_Pr	UchenyiS
1	и в	59	14
2	не только	26	10
3	а не	30	10
4	и не	66	8
5	прежде всего	17	8
6	то что	21	7
7	не может	31	7
8	вот почему	3	7
9	в этом	40	7
10	в искусстве	2	6
11	может быть	38	6
12	перестает быть	4	5
13	и только	2	5
14	то же	15	5
15	художественного творчества	3	5
16	хотя бы	5	5
17	все это	12	5
18	в художественном	5	5
19	но и	22	4
20	в этой	5	4
21	с другой	3	4
22	в их	5	4
23	конечно не	7	4
24	не о	3	3
25	у нас	2	3
26	в частности	2	3
27	для этого	4	3
28	и т.д	2	3
29	это не	13	3
30	в своей	17	3
31	все же	9	3
32	не как	15	3
33	нашему мнению	3	3
34	как и	21	3
35	в то	15	3
36	но в	7	3
37	же время	10	3
38	по нашему	5	3
39	или точнее	2	3
40	ни было	4	3
41	было бы	10	3
42	в области	3	3
43	бы то	3	3
44	то ни	3	3
45	другой стороны	3	3
46	для него	23	3
47	в самом	19	2
48	в себе	9	2
49	что мы	2	2
50	и у	6	2
51	мы и	2	2
52	форму и	2	2
53	что он	16	2
54	крайней мере	3	2
55	таким образом	22	2
56	художественной формы	6	2
57	но не	13	2
58	и для	5	2
59	если бы	12	2
60	их и	3	2
61	ее нельзя	2	2
62	не все	2	2
63	между тем	5	2
64	самом деле	9	2
65	только в	15	2
66	одним из	11	2
67	этом смысле	12	2
68	а его	3	2
69	не есть	2	2
70	что она	6	2
71	ничего не	8	2
72	всех этих	3	2
73	даже и	2	2
74	и с	10	2
75	должна была	4	2
76	но конечно	3	2
77	что и	10	2
78	по крайней	3	2
79	могут быть	5	2
80	и через	2	2
81	не могут	6	2
82	смысле этого	2	2
83	это было	3	2
84	превращается в	4	2
85	сих пор	3	2
86	он выдвигает	2	2
87	по себе	13	2
88	тем что	5	2
89	том что	15	2
90	а как	8	2
91	в его	44	2
92	все они	4	2
93	в том	17	2
94	что все	5	2
95	этом отношении	7	2
96	как таковой	2	2
97	если не	2	2
98	с его	14	2
99	как раз	9	2
100	должна быть	4	2
101	представляется нам	2	2
102	конце концов	7	2
103	его и	4	2
104	а о	4	2
105	но это	7	2
106	по существу	5	2
107	не в	10	2
108	художественного задания	3	2
109	бы и	6	2
110	в конце	9	2
111	мы не	3	2
112	до сих	3	2
113	могли бы	3	2
114	не столько	3	2
