N	3gram	Propp_Isto	RusskieA
1	в том что	7	49
2	и т д	25	21
3	тем не менее	4	14
4	в этом случае	4	12
5	вместе с тем	6	11
6	о том что	9	10
7	том что в	2	9
8	и в других	2	9
9	в том чтобы	2	9
10	но это не	3	8
11	в данном случае	7	8
12	мы не можем	2	7
13	т е в	2	7
14	как мы видели	3	6
15	не может быть	5	6
16	после того как	4	6
17	так же как	4	6
18	мы видели что	4	5
19	во всяком случае	3	4
20	в то время	4	4
21	можно было бы	3	4
22	как и другие	2	4
23	мы не будем	2	4
24	в этих случаях	12	4
25	но вместе с	2	3
26	приводит нас к	2	3
27	более или менее	3	3
28	по отношению к	3	3
29	можно предположить что	3	3
30	с тем что	2	3
31	здесь мы имеем	8	3
32	до сих пор	4	3
33	мы уже видели	3	3
34	в этом и	2	2
35	мы уже знаем	5	2
36	тех случаях когда	6	2
37	в тех случаях	7	2
38	о том как	3	2
39	но тем не	2	2
40	как и в	3	2
41	не только в	9	2
42	во всех этих	6	2
43	с одной стороны	11	2
44	дело не в	3	2
45	мы увидим что	2	2
46	есть и другие	2	2
47	но и на	2	2
48	но так как	4	2
49	с другой стороны	17	2
50	так как это	3	2
51	выше мы видели	2	2
52	но все же	3	2
53	к себе в	2	2
