N	3gram	Potebnia_M	Problemy
1	то же время	3	26
2	в то же	3	26
3	с точки зрения	3	25
4	по отношению к	13	18
5	и т п	4	18
6	в этом смысле	4	16
7	на самом деле	2	15
8	не может быть	11	14
9	до сих пор	5	10
10	с самого начала	5	9
11	во всяком случае	7	9
12	с другой стороны	7	9
13	в том что	18	8
14	бы то ни	2	7
15	сама по себе	4	7
16	и в этом	7	7
17	и т д	6	7
18	по крайней мере	6	5
19	сам по себе	5	5
20	подобно тому как	7	5
21	но все же	2	5
22	тем не менее	10	4
23	более или менее	6	4
24	так и в	5	4
25	само по себе	6	4
26	как и в	3	4
27	а между тем	5	4
28	сами по себе	8	4
29	смысле этого слова	3	4
30	друг на друга	2	4
31	все то что	2	3
32	в то время	3	3
33	то все же	3	3
34	на то что	3	3
35	в эту минуту	2	3
36	не только не	2	3
37	на этот вопрос	2	3
38	мы увидим что	3	3
39	в том и	2	3
40	и в слове	2	2
41	что и в	4	2
42	по себе и	2	2
43	но тем не	6	2
44	то что в	2	2
45	и в том	3	2
46	но это не	2	2
47	но не в	3	2
48	но с другой	3	2
49	друг от друга	3	2
50	не только в	3	2
51	к тому что	2	2
52	а так как	3	2
53	дело в том	3	2
54	для того чтобы	4	2
55	как бы ни	4	2
56	в одном из	2	2
57	они ни были	2	2
58	потому что сам	2	2
59	в свою очередь	8	2
