N	2gram	Tiupa_Narr	Narrotol
1	не только	50	32
2	может быть	24	25
3	но и	39	23
4	в качестве	27	21
5	и не	34	20
6	и в	22	19
7	то есть	15	19
8	в том	20	18
9	в этом	23	17
10	в тексте	17	16
11	том что	15	14
12	не в	12	14
13	в частности	23	14
14	состоит в	19	13
15	представляет собой	21	13
16	в рамках	6	12
17	коммуникативного события	9	12
18	своего рода	17	12
19	тогда как	23	12
20	а не	27	12
21	а в	19	11
22	то что	14	11
23	точки зрения	8	10
24	не может	16	10
25	в мире	8	9
26	нарративного дискурса	6	9
27	при этом	31	9
28	в его	12	9
29	со стороны	14	9
30	так и	12	9
31	во времени	9	8
32	с другой	6	8
33	в себе	14	8
34	не является	7	8
35	и т.п	11	8
36	героя в	6	8
37	все же	10	7
38	а также	11	7
39	как и	15	7
40	и т.д	7	7
41	одной стороны	5	7
42	времени и	9	7
43	по отношению	5	7
44	в случае	4	7
45	такого рода	17	7
46	еще не	6	7
47	как в	9	7
48	с одной	5	7
49	к тому	13	7
50	о том	5	6
51	но не	7	6
52	тем самым	9	6
53	но в	10	6
54	то в	4	6
55	именно в	5	6
56	высказывания в	3	6
57	актуального членения	2	6
58	нарративного высказывания	4	6
59	иначе говоря	14	6
60	в той	4	6
61	что он	7	6
62	точка зрения	5	6
63	как это	7	6
64	на протяжении	12	6
65	в себя	3	6
66	отношению к	5	6
67	с его	6	6
68	события рассказывания	8	5
69	далеко не	6	5
70	и пространстве	6	5
71	по себе	4	5
72	в данном	17	5
73	картины мира	3	5
74	уже не	11	5
75	нарративный дискурс	2	5
76	в отличие	6	5
77	к себе	11	5
78	и как	4	5
79	себя в	4	5
80	казалось что	2	5
81	мира в	4	5
82	между двумя	6	5
83	и его	12	5
84	или иной	6	5
85	в форме	7	5
86	к нему	5	5
87	можно сказать	11	5
88	в этой	8	5
89	отличие от	6	5
90	не все	2	5
91	отнюдь не	6	5
92	тому же	9	5
93	в детстве	3	5
94	о нем	5	4
95	одной из	2	4
96	сказать что	5	4
97	данном случае	12	4
98	да и	5	4
99	у него	13	4
100	и с	3	4
101	было как	5	4
102	нарративного текста	6	4
103	в церкви	2	4
104	как бы	11	4
105	в нем	9	4
106	во втором	6	4
107	вслед за	4	4
108	одного из	6	4
109	связи с	3	4
110	жизненной позиции	2	4
111	хотя бы	4	4
112	за границей	3	4
113	другой стороны	2	4
114	если не	4	4
115	в силу	5	4
116	не столько	2	4
117	внутреннего зрения	2	4
118	переход от	2	4
119	как правило	8	4
120	речь идет	3	4
121	в принципе	6	4
122	теперь как	5	4
123	только в	23	4
124	и тем	9	4
125	то же	12	4
126	здесь не	4	4
127	матери и	5	4
128	в особенности	2	4
129	несобственно-прямой речи	5	4
130	было бы	2	4
131	же время	7	4
132	пока еще	4	4
133	той или	7	4
134	же в	6	4
135	героя и	4	4
136	в пространстве	3	4
137	или напротив	3	4
138	точку зрения	3	4
139	не мог	7	4
140	в противовес	3	4
141	в рассказе	10	4
142	прежде всего	7	4
143	имеет место	4	4
144	что не	2	4
145	перед нами	9	4
146	при всей	5	4
147	никогда не	8	3
148	не о	2	3
149	в конечном	6	3
150	восходит к	2	3
151	если в	2	3
152	особенно в	3	3
153	в произведении	2	3
154	что это	4	3
155	событийного статуса	2	3
156	в третьем	4	3
157	будто он	2	3
158	повествовательного текста	4	3
159	на том	2	3
160	в ней	5	3
161	бытия в	2	3
162	столь же	6	3
163	в то	9	3
164	о матери	2	3
165	и он	8	3
166	живет теперь	2	3
167	не менее	6	3
168	в коммуникативном	2	3
169	различного рода	3	3
170	между тем	5	3
171	преосвященного петра	6	3
172	будто бы	2	3
173	в свою	4	3
174	истории в	8	3
175	героя к	2	3
176	на себя	5	3
177	жизни как	2	3
178	одна из	5	3
179	свидетель и	3	3
180	себя внимание	3	3
181	с ее	3	3
182	обращает на	3	3
183	не существует	3	3
184	тем не	7	3
185	и даже	4	3
186	а именно	2	3
187	из них	4	3
188	из этих	6	3
189	на него	4	3
190	все было	2	3
191	один из	8	3
192	и на	5	3
193	быстро весело	3	3
194	и племянницы	4	3
195	присутствия в	3	3
196	по своей	3	3
197	не будет	2	3
198	жизни и	7	3
199	о приезде	3	3
200	повествуемого мира	9	3
201	это и	2	3
202	в ее	4	3
203	же как	2	3
204	приезд матери	2	3
205	этом отношении	5	3
206	о ней	5	3
207	интриги в	2	3
208	жизни в	7	3
209	не обязательно	3	3
210	в присутствии	2	3
211	свою очередь	2	3
212	и самого	3	3
213	отец сисой	3	3
214	в сущности	2	3
215	или иначе	2	3
216	по мысли	8	3
217	статус события	4	3
218	он не	8	3
219	этого эпизода	3	3
220	в первом	4	3
221	в эпизоде	4	3
222	как будто	4	3
223	а во	5	3
224	что в	6	3
225	коммуникативное событие	6	3
226	в архиерее	3	3
227	сводится к	10	3
228	хотя и	8	3
229	как мы	3	3
230	нарратологического анализа	2	3
231	племянницы в	3	3
232	служба кончилась	2	3
233	а с	2	3
234	событийной цепи	5	3
235	краткий эпизод	2	2
236	дискурс в	2	2
237	одно из	2	2
238	своей матери	3	2
239	та же	2	2
240	сами по	2	2
241	эпизоды в	3	2
242	в литературе	8	2
243	главного персонажа	2	2
244	они и	2	2
245	сын человеческий	2	2
246	и для	4	2
247	происходит и	2	2
248	не имеет	3	2
249	или иного	3	2
250	первого цикла	2	2
251	и про	2	2
252	подобно тому	4	2
253	это не	6	2
254	первом случае	3	2
255	что у	6	2
256	и все	7	2
257	и после	3	2
258	граница эпизода	2	2
259	и потому	2	2
260	известном смысле	4	2
261	он идет	2	2
262	она не	2	2
263	не могло	3	2
264	в своем	7	2
265	центрального персонажа	5	2
266	того или	3	2
267	у нее	8	2
268	читателя в	4	2
269	в самую	2	2
270	всего лишь	8	2
271	в молчание	2	2
272	событийность излагаемых	3	2
273	они не	3	2
274	со словами	3	2
275	идет о	3	2
276	эпизоде первого	2	2
277	в роли	2	2
278	жизни но	3	2
279	в культуре	3	2
280	более или	2	2
281	очевидным образом	2	2
282	каким он	3	2
283	архиерея в	2	2
284	мы имеем	6	2
285	так же	2	2
286	о воскресении	3	2
287	и судия	4	2
288	зависит от	3	2
289	но как	3	2
290	во второй	2	2
291	она может	2	2
292	сути дела	2	2
293	о своей	3	2
294	умирание героя	2	2
295	тем более	2	2
296	о чем	6	2
297	выговорить ни	2	2
298	можно было	2	2
299	после смерти	2	2
300	ему в	2	2
301	как к	3	2
302	времени в	3	2
303	и ее	3	2
304	не всегда	4	2
305	вплоть до	5	2
306	которая в	2	2
307	шестые эпизоды	2	2
308	мира и	2	2
309	как птица	4	2
310	его жизни	5	2
311	как сияние	2	2
312	являет собой	5	2
313	и представляет	2	2
314	оно не	4	2
315	ключ к	2	2
316	каждый из	3	2
317	идет по	2	2
318	другой день	4	2
319	следует признать	2	2
320	чуда сверхсобытия	2	2
321	зрения на	2	2
322	что на	4	2
323	конечном счете	4	2
324	происходящего в	2	2
325	в результате	4	2
326	смерть героя	3	2
327	ничего не	8	2
328	рассказывания в	6	2
329	архиерея но	2	2
330	выступает в	2	2
331	а по	2	2
332	в обоих	4	2
333	приводит к	2	2
334	один голос	2	2
335	эпизоды и	4	2
336	героя из	2	2
337	в чужой	2	2
338	сообщают о	3	2
339	глядела на	3	2
340	между ними	3	2
341	однако в	4	2
342	преосвященного в	2	2
343	его как	2	2
344	наряду с	2	2
345	дискурса в	2	2
346	участок текста	3	2
347	между собой	3	2
348	приезде матери	2	2
349	эпизодов в	3	2
350	в известном	4	2
351	дело с	4	2
352	отношение к	2	2
353	или менее	2	2
354	что мы	2	2
355	не сводится	8	2
356	рассказа о	2	2
357	на эпизоды	3	2
358	ударили к	2	2
359	на другой	6	2
360	тому как	4	2
361	точно так	2	2
362	первого эпизода	2	2
363	лица и	2	2
364	купца еракина	2	2
365	речь центрального	2	2
366	кто говорит	2	2
367	событие в	5	2
368	исходя из	4	2
369	субъекта и	2	2
370	жизни а	4	2
371	в детство	2	2
372	роль в	4	2
373	не случайно	2	2
374	героя с	2	2
375	свободен теперь	4	2
376	тексте архиерея	2	2
377	что именно	2	2
378	не было	3	2
379	с точки	2	2
380	события в	3	2
381	про жениха	2	2
382	для автора	2	2
383	и того	5	2
384	родился монахом	2	2
385	про чертог	2	2
386	и физически	2	2
387	говорит о	3	2
388	матери с	3	2
389	он сам	4	2
390	седьмые эпизоды	2	2
391	человека в	2	2
392	и когда	3	2
393	рассказе о	2	2
394	текста в	4	2
395	личности в	2	2
396	он уже	3	2
397	все эти	3	2
398	более не	3	2
399	персонажа глава	2	2
400	в области	4	2
401	художественных текстах	3	2
402	или даже	3	2
403	представляют собой	5	2
404	художественного высказывания	2	2
405	форме несобственно-прямой	2	2
406	одним из	2	2
407	весело постукивая	2	2
408	преосвященный петр	2	2
409	и только	2	2
410	или в	7	2
411	в связи	3	2
412	таким каким	2	2
413	может оказаться	2	2
414	в таком	4	2
415	персонажа и	4	2
416	было ясно	2	2
417	нового времени	2	2
418	нами не	2	2
419	себе самом	2	2
420	должна быть	2	2
421	коммуникативной ситуации	2	2
422	когда преосвященный	2	2
423	трех докторов	2	2
424	например в	2	2
425	всех его	2	2
426	событии рассказывания	2	2
427	современной нарратологии	7	2
428	в двух	2	2
429	то они	3	2
430	текста как	2	2
431	прямо родился	2	2
432	в организации	2	2
433	действующее лицо	2	2
434	точек зрения	2	2
435	полю быстро	2	2
436	главного героя	5	2
437	нарративной истории	5	2
438	постукивая палочкой	2	2
439	который в	2	2
440	в пределах	2	2
441	в нарративном	3	2
442	что касается	3	2
443	чтобы стать	2	2
444	и судии	4	2
445	прошлого и	2	2
446	третьем эпизоде	2	2
447	для него	8	2
448	протяжении этого	2	2
449	первого евангелия	2	2
450	в какой	2	2
451	как раз	9	2
452	самом деле	4	2
453	по терминологии	2	2
454	к другому	2	2
455	рассказываемой истории	5	2
456	как хорошо	2	2
457	в аспекте	3	2
458	по сути	3	2
459	того что	7	2
460	имеем дело	4	2
461	в последние	2	2
462	в памяти	2	2
463	он прямо	2	2
464	не являются	2	2
465	по полю	2	2
466	повествователя и	5	2
467	одного сознания	2	2
468	как известно	3	2
