N	2gram	Medvedev_V	formyVre
1	и в	26	148
2	в этом	29	73
3	в романе	4	58
4	в нем	7	51
5	прежде всего	13	46
6	и т	25	40
7	и не	20	37
8	в его	15	36
9	и его	6	36
10	вовсе не	3	35
11	но и	10	33
12	то же	10	32
13	т п	9	32
14	не только	26	32
15	но в	2	31
16	жизни и	3	31
17	так и	6	29
18	может быть	23	27
19	не в	6	26
20	как и	7	25
21	как бы	5	25
22	точки зрения	3	24
23	в то	6	23
24	человека в	2	23
25	только в	8	23
26	то что	7	22
27	в том	15	22
28	все эти	8	21
29	связи с	5	21
30	во всех	7	21
31	же время	5	21
32	в основном	7	19
33	в своем	8	19
34	и др	10	19
35	и для	2	19
36	у него	6	18
37	по существу	4	18
38	еще не	2	18
39	таким образом	32	18
40	человека и	3	17
41	с этим	3	17
42	в особенности	2	17
43	в пределах	5	17
44	все же	6	16
45	в связи	4	16
46	не может	17	16
47	и их	3	16
48	никогда не	5	15
49	в них	5	15
50	лишь в	2	15
51	так сказать	2	15
52	в одном	5	15
53	с его	4	15
54	вместе с	8	15
55	так же	3	14
56	все это	13	14
57	всех этих	3	14
58	и как	3	14
59	в конце	3	14
60	как раз	4	14
61	а не	7	14
62	роль в	4	13
63	в их	5	13
64	в частности	12	13
65	а в	3	13
66	того чтобы	3	13
67	же в	7	13
68	во время	4	13
69	для того	3	13
70	в котором	3	13
71	в самом	4	13
72	отнюдь не	4	12
73	не было	7	12
74	и наконец	2	12
75	но не	2	12
76	он не	2	12
77	что в	11	12
78	его в	3	11
79	и у	2	11
80	между ними	3	11
81	в образе	2	11
82	в ней	2	11
83	хотя и	2	11
84	из них	11	11
85	мира и	3	11
86	в ее	4	10
87	сих пор	2	10
88	также и	2	10
89	на основе	5	10
90	до сих	2	10
91	могут быть	8	9
92	том что	8	9
93	должно быть	2	9
94	и даже	2	9
95	с другой	11	9
96	для него	9	9
97	их в	7	9
98	это не	7	8
99	или иной	2	8
100	и потому	2	8
101	к тому	5	8
102	все его	2	8
103	том числе	2	8
104	в целом	5	8
105	один из	6	8
106	что и	3	8
107	во всяком	2	8
108	в результате	5	8
109	и по	3	8
110	если бы	3	8
111	отношению к	7	8
112	с одной	2	8
113	в жизни	2	8
114	и к	3	8
115	в виду	4	8
116	в процессе	17	7
117	в себе	6	7
118	том же	6	7
119	у них	2	7
120	того что	3	7
121	было бы	8	7
122	например в	3	7
123	этого типа	3	7
124	к этому	9	7
125	из этих	7	7
126	и он	3	7
127	этот процесс	3	7
128	в которой	2	7
129	т д	16	7
130	этом отношении	14	7
131	ее в	4	7
132	к ним	2	7
133	в форме	3	7
134	все они	2	6
135	не могут	10	6
136	и ее	4	6
137	а как	2	6
138	одной из	2	6
139	с тем	4	6
140	ту же	2	6
141	одной стороны	2	6
142	ни одного	2	6
143	в качестве	12	6
144	во всей	2	6
145	сказать что	5	6
146	до нас	2	6
147	не является	5	6
148	только для	2	6
149	смысле слова	2	6
150	нет и	3	6
151	о том	10	6
152	именно в	3	6
153	в которых	3	6
154	в различных	2	6
155	стороны и	2	5
156	о чем	2	5
157	и через	2	5
158	произведения и	7	5
159	понятно что	2	5
160	например у	2	5
161	они не	2	5
162	с другими	2	5
163	искусстве и	2	5
164	что все	4	5
165	с ними	4	5
166	что они	3	5
167	в этой	4	5
168	и от	3	5
169	числе и	2	5
170	хотя бы	20	5
171	мы имеем	3	5
172	в своей	4	5
173	об этом	9	5
174	в порядке	6	5
175	далеко не	3	5
176	да и	2	5
177	он может	2	5
178	или в	3	5
179	даже в	5	4
180	перед нами	5	4
181	труда и	2	4
182	по себе	2	4
183	при всей	2	4
184	по отношению	7	4
185	в другом	2	4
186	и при	5	4
187	что он	4	4
188	как он	3	4
189	как у	2	4
190	его от	2	4
191	мы наблюдаем	2	4
192	в чем	2	4
193	что не	3	4
194	другой стороны	8	4
195	формы и	2	4
196	для них	2	4
197	а затем	2	4
198	только что	4	4
199	в последнем	2	4
200	явления в	2	4
201	у нас	3	4
202	себе и	2	4
203	же и	3	4
204	в своих	2	4
205	их и	4	4
206	момент в	3	4
207	равно как	4	4
208	всяком случае	2	4
209	это и	6	4
210	же самое	2	4
211	нет ни	2	3
212	еще и	2	3
213	которые в	2	3
214	образов и	4	3
215	том как	3	3
216	вплоть до	2	3
217	ни с	2	3
218	как это	12	3
219	в другую	3	3
220	этом процессе	2	3
221	этой проблемы	3	3
222	тому что	7	3
223	она не	3	3
224	в точном	2	3
225	не столько	2	3
226	в образах	2	3
227	и художественного	3	3
228	же как	2	3
229	в зависимости	6	3
230	на этом	2	3
231	пародия на	2	3
232	вот почему	5	3
233	одна из	4	3
234	если они	2	3
235	бы в	3	3
236	другом месте	2	3
237	бы и	6	3
238	в значительной	3	3
239	зависимости от	5	3
240	и весь	2	3
241	бы не	2	3
242	как на	3	3
243	точном смысле	2	3
244	в течение	2	3
245	при всем	3	3
246	явлений и	3	3
247	можно сказать	4	3
248	ни один	8	3
249	в творчестве	3	3
250	главным образом	7	3
251	что мы	2	3
252	произведения в	7	3
253	внимание на	2	3
254	и есть	5	3
255	не быть	2	3
256	в слове	3	3
257	не о	2	2
258	начиная с	2	2
259	в плане	5	2
260	или наконец	2	2
261	если в	2	2
262	в каждом	2	2
263	др в	3	2
264	между прочим	2	2
265	он же	6	2
266	должен быть	4	2
267	произведения как	6	2
268	после этого	2	2
269	одном из	4	2
270	от различных	2	2
271	начинается с	2	2
272	они должны	2	2
273	п в	3	2
274	утверждает что	3	2
275	его не	3	2
276	что даже	2	2
277	в искусстве	6	2
278	образом в	3	2
279	значит что	2	2
280	от них	2	2
281	могло бы	2	2
282	они и	2	2
283	и непосредственно	2	2
284	этом же	2	2
285	образы и	5	2
286	но как	3	2
287	по этому	10	2
288	с нею	2	2
289	и некоторые	2	2
290	отметить что	2	2
291	о его	2	2
292	сюжета и	2	2
293	этому вопросу	2	2
294	было в	2	2
295	этого рода	2	2
296	значительной мере	3	2
297	и художественное	3	2
298	даже не	2	2
299	должны быть	2	2
300	важно подчеркнуть	2	2
301	не столь	3	2
302	мы видели	3	2
303	идей и	3	2
304	образом не	3	2
305	реальной действительности	10	2
306	отличается от	2	2
307	процесса в	2	2
308	образов в	2	2
309	и может	2	2
310	в философии	4	2
311	между собою	2	2
312	вне его	2	2
313	должна быть	2	2
314	моментов в	3	2
315	что у	3	2
