N	2gram	Potebnia_M	EvropaiC
1	таким образом	24	34
2	в том	47	31
3	и в	48	24
4	том что	28	20
5	не может	18	18
6	то что	37	18
7	может быть	46	17
8	до сих	4	15
9	все же	3	15
10	сих пор	4	15
11	точки зрения	4	14
12	в этом	19	13
13	все это	4	13
14	в своем	6	12
15	с этим	12	12
16	самом деле	5	12
17	между тем	19	12
18	по отношению	12	11
19	но и	30	11
20	отношению к	10	11
21	не только	32	10
22	так и	17	10
23	как и	22	10
24	все что	4	10
25	как бы	10	10
26	из себя	3	10
27	и не	28	9
28	не в	24	9
29	что в	30	9
30	и все	5	9
31	на то	6	9
32	того же	5	9
33	потому что	82	9
34	при этом	6	9
35	и что	13	9
36	так же	6	8
37	из этих	10	8
38	или менее	6	8
39	если бы	20	8
40	для того	8	8
41	к тому	9	8
42	более или	6	8
43	в самом	11	8
44	а и	5	8
45	а между	6	8
46	того чтобы	5	8
47	с точки	3	8
48	касается до	2	8
49	на самом	4	7
50	в сознании	36	7
51	так как	20	7
52	в силу	7	7
53	что он	8	7
54	того что	24	7
55	о котором	2	7
56	не менее	9	7
57	о том	7	7
58	что и	16	7
59	в этой	3	7
60	что при	3	7
61	вместе с	22	7
62	в мире	3	6
63	только в	29	6
64	еще не	9	6
65	и при	5	6
66	друг от	2	6
67	так что	14	6
68	в то	16	6
69	должна быть	2	6
70	с другой	8	6
71	от друга	2	6
72	и если	4	6
73	и на	5	6
74	мы можем	13	6
75	несмотря на	2	6
76	тогда как	8	6
77	что с	2	6
78	как на	6	6
79	с ним	10	6
80	и от	5	5
81	его в	6	5
82	своего народа	2	5
83	но все	2	5
84	в себе	26	5
85	в состоянии	5	5
86	должно быть	9	5
87	к этому	3	5
88	в которой	9	5
89	большею частью	2	5
90	случае если	2	5
91	лишь в	2	5
92	на все	3	5
93	и их	4	5
94	между собою	13	5
95	из них	11	5
96	что это	6	5
97	так или	2	5
98	по своему	2	5
99	у него	3	5
100	что все	5	5
101	далеко не	5	5
102	но в	8	5
103	столь же	8	5
104	именно в	5	5
105	и без	9	5
106	а потому	8	5
107	и с	4	5
108	и к	5	5
109	другой стороны	4	5
110	первое время	2	5
111	пор не	2	5
112	в целом	5	5
113	не будет	4	5
114	между двумя	5	5
115	в его	6	5
116	никогда не	2	4
117	и то	13	4
118	самого себя	3	4
119	в такой	2	4
120	не могут	7	4
121	из того	2	4
122	мы должны	6	4
123	для меня	5	4
124	что эта	3	4
125	хотя бы	3	4
126	чем больше	3	4
127	тем не	7	4
128	отношение к	2	4
129	целый ряд	2	4
130	та же	3	4
131	то же	35	4
132	с течением	3	4
133	в их	2	4
134	том же	2	4
135	в области	3	4
136	а с	4	4
137	одним из	3	4
138	в виде	3	4
139	что его	3	4
140	в течение	2	4
141	и проч	25	4
142	что для	5	4
143	с тем	9	4
144	этом случае	2	4
145	течением времени	2	4
146	на вопрос	2	4
147	не есть	24	4
148	что мы	16	4
149	выше мы	4	4
150	том случае	2	4
151	связи с	6	4
152	что как	4	4
153	в таком	6	4
154	он не	4	4
155	если мы	2	4
156	признать что	2	4
157	хотя и	3	4
158	мы уже	5	4
159	даже в	3	3
160	данном случае	3	3
161	и вообще	4	3
162	вопрос о	2	3
163	тем самым	11	3
164	при помощи	2	3
165	это не	2	3
166	что если	5	3
167	и потому	9	3
168	что по	4	3
169	не подлежит	2	3
170	и до	2	3
171	от него	2	3
172	и говорить	2	3
173	в начале	3	3
174	тем более	9	3
175	бы в	3	3
176	но даже	3	3
177	ни было	2	3
178	от того	10	3
179	только что	12	3
180	очевидно что	9	3
181	с этой	2	3
182	в этих	2	3
183	конечно не	2	3
184	и других	3	3
185	и наконец	3	3
186	одного и	2	3
187	как у	2	3
188	у нас	2	3
189	прежде всего	6	3
190	отличие от	2	3
191	с одной	8	3
192	в разных	4	3
193	образом в	4	3
194	что только	7	3
195	одно из	6	3
196	но не	8	3
197	и это	6	3
198	в данном	3	3
199	а в	14	3
200	бы то	2	3
201	в нем	16	3
202	указывают на	3	3
203	в ней	11	3
204	основаны на	2	3
205	что оно	12	3
206	тогда когда	20	3
207	не то	6	3
208	ко всем	5	3
209	для нас	40	3
210	с в	4	3
211	можно назвать	2	3
212	должны быть	3	3
213	было бы	16	3
214	и по	5	3
215	и может	4	3
216	на нас	4	3
217	таким же	2	3
218	ничего общего	2	3
219	в истории	2	3
220	во всем	2	3
221	и того	2	3
222	заключается в	2	3
223	тот же	2	3
224	как мы	8	3
225	чем в	2	3
226	образом и	3	2
227	все то	3	2
228	другими словами	3	2
229	не от	3	2
230	то и	10	2
231	они могут	2	2
232	невозможно но	3	2
233	независимо от	10	2
234	в процессе	2	2
235	но как	2	2
236	а к	4	2
237	к ним	3	2
238	есть только	9	2
239	или поздно	2	2
240	не потому	2	2
241	на одном	2	2
242	то время	7	2
243	что она	4	2
244	то есть	53	2
245	из нее	2	2
246	а это	2	2
247	лишь тогда	5	2
248	свою очередь	6	2
249	в отдельных	2	2
250	но если	2	2
251	до тех	5	2
252	на него	3	2
253	для себя	3	2
254	друг друга	6	2
255	что до	3	2
256	входящих в	2	2
257	к тем	4	2
258	не было	12	2
259	следовательно и	2	2
260	он должен	2	2
261	из двух	4	2
262	как при	3	2
263	что они	2	2
264	тем как	4	2
265	одной и	6	2
266	или вовсе	3	2
267	над всеми	3	2
268	том виде	2	2
269	в один	4	2
270	никто не	5	2
271	не знает	4	2
272	и из	2	2
273	в одно	8	2
274	в глазах	3	2
275	эти последние	3	2
276	при таких	2	2
277	уже более	2	2
278	для него	14	2
279	только тогда	13	2
280	с общим	2	2
281	мы видели	5	2
282	на нее	2	2
283	есть в	6	2
284	от них	4	2
285	том чтобы	4	2
286	рано или	2	2
287	в эту	4	2
288	не имеет	10	2
289	но так	3	2
290	что у	4	2
291	тому что	6	2
292	к нему	7	2
293	она не	4	2
294	же мало	2	2
295	в ту	2	2
296	в котором	7	2
297	тех пор	5	2
298	их в	3	2
299	на себе	3	2
300	все его	2	2
301	те же	6	2
302	этого последнего	4	2
303	только при	2	2
304	давно уже	4	2
305	в своих	2	2
306	в свою	6	2
307	что на	3	2
308	в которых	5	2
309	одной стороны	4	2
310	но на	2	2
311	между прочим	5	2
312	между ними	4	2
313	по этому	2	2
314	в них	9	2
315	только не	5	2
316	представить себе	5	2
317	со своей	2	2
318	что же	3	2
319	всяком случае	3	2
320	между людьми	2	2
321	же что	8	2
322	жизни и	3	2
323	них в	2	2
324	с ними	6	2
325	от нее	2	2
326	но вместе	5	2
327	во всяком	4	2
328	на более	2	2
329	из него	4	2
330	говорить о	6	2
331	себя и	4	2
332	и его	4	2
333	в сущности	3	2
334	которого в	3	2
335	же время	8	2
336	из предыдущего	2	2
337	и только	5	2
338	из одного	3	2
339	не следует	6	2
340	заключает в	10	2
341	и более	4	2
342	что эти	3	2
343	этого слова	14	2
344	только один	3	2
345	той же	6	2
346	все в	3	2
347	вовсе не	13	2
348	тем же	6	2
349	существование в	2	2
350	и состоит	2	2
351	многих других	2	2
