N	2gram	Voloshinov	Marksizm
1	точки зрения	8	69
2	может быть	17	64
3	и в	16	63
4	и не	4	55
5	как бы	5	53
6	не может	8	47
7	с точки	6	46
8	и пр	12	42
9	и его	8	41
10	в этом	9	39
11	таким образом	9	38
12	как мы	4	32
13	в пределах	2	31
14	не только	7	29
15	в нем	4	28
16	то же	2	28
17	но и	4	27
18	самом деле	6	25
19	прежде всего	9	24
20	как и	2	24
21	в самом	2	24
22	так и	4	23
23	и т.п	2	23
24	только в	4	23
25	в том	3	22
26	то что	3	22
27	при этом	6	20
28	для него	6	20
29	если мы	2	20
30	том что	3	19
31	в его	4	19
32	но в	4	18
33	и для	2	18
34	и как	3	16
35	ни было	2	16
36	что он	2	15
37	во всех	3	15
38	отнюдь не	4	15
39	с помощью	2	15
40	хотя бы	4	14
41	так же	2	13
42	мы не	2	13
43	было бы	2	13
44	в своей	2	13
45	что в	3	13
46	а в	3	12
47	того же	2	12
48	в основе	3	12
49	он не	2	12
50	на самом	4	11
51	и все	4	11
52	и на	4	11
53	сих пор	3	11
54	все эти	5	11
55	так как	4	11
56	еще не	5	11
57	мы уже	2	11
58	до сих	3	11
59	никогда не	2	10
60	его в	4	10
61	и потому	3	10
62	в основном	3	10
63	самого начала	4	10
64	с самого	4	10
65	во всяком	3	10
66	с его	7	10
67	сказать что	7	10
68	к этому	2	10
69	совершенно не	8	10
70	конечно не	6	10
71	в большинстве	3	10
72	только на	3	9
73	и это	6	9
74	большинстве случаев	3	9
75	что это	2	9
76	ни в	5	9
77	в каком	2	8
78	и ее	4	8
79	в науке	2	8
80	мы знаем	3	8
81	с этим	2	8
82	на этой	3	8
83	что не	2	8
84	не будет	2	8
85	что и	2	8
86	за пределы	2	8
87	мысли и	4	8
88	и даже	4	8
89	мы можем	9	8
90	и их	4	8
91	и с	8	8
92	сводится к	2	8
93	у него	2	8
94	субъективного сознания	2	7
95	те же	3	7
96	могут быть	3	7
97	с ними	4	7
98	в этой	4	7
99	в начале	2	7
100	в этих	3	7
101	и значение	3	7
102	о том	2	7
103	не существует	2	7
104	на основе	2	7
105	не есть	2	6
106	здесь же	2	6
107	все это	4	6
108	с ее	4	6
109	с другими	3	6
110	из этих	2	6
111	сознания и	2	6
112	пр и	3	6
113	между ними	3	6
114	всяком случае	3	6
115	но как	2	5
116	и вот	3	5
117	в душе	2	5
118	не менее	2	5
119	на границе	2	5
120	ее в	2	5
121	и лишь	2	5
122	что такое	5	5
123	на язык	3	5
124	в одном	3	5
125	вместе с	3	5
126	другими словами	2	4
127	не могут	2	4
128	нуждается в	5	4
129	едва ли	3	4
130	в области	3	4
131	и к	6	4
132	всех других	2	4
133	можно сказать	4	4
134	и действительно	2	4
135	в них	2	4
136	можно назвать	2	4
137	войти в	2	4
138	нет и	2	4
139	во всей	2	4
140	нем нет	2	4
141	но ведь	2	4
142	со всеми	2	4
143	не знает	2	4
144	жизни и	3	4
145	только и	2	3
146	к себе	3	3
147	как это	3	3
148	они не	2	3
149	если б	3	3
150	что оно	2	3
151	почти не	2	3
152	между собой	2	3
153	на них	2	3
154	и др	3	3
155	мы видим	2	3
156	и по	2	3
157	не на	2	3
158	все остальные	2	3
159	в мир	2	3
160	и вообще	2	3
161	все то	2	3
162	в систему	2	3
163	но это	2	3
164	с их	3	3
165	и этот	2	3
166	поэтому и	2	3
167	в этот	2	3
168	мы полагаем	3	3
169	на первый	2	3
170	и о	2	3
171	на протяжении	2	3
172	т.е не	2	3
173	учение о	3	3
174	находится в	2	3
175	говорить о	2	3
176	и есть	3	3
177	и только	9	3
178	с ним	2	3
179	момент в	2	3
180	и других	2	3
181	почти совершенно	2	2
182	они-то и	2	2
183	оно и	2	2
184	всей их	2	2
185	крайней мере	3	2
186	момента в	2	2
187	можем сказать	2	2
188	и притом	3	2
189	есть и	2	2
190	в частности	2	2
191	и вся	2	2
192	к ним	2	2
193	из сказанного	2	2
194	в общем	3	2
195	для всех	4	2
196	мира и	3	2
197	а потому	4	2
198	в психике	8	2
199	совсем не	2	2
200	же как	2	2
201	себя и	2	2
202	определить как	2	2
203	рождения и	2	2
204	по аналогии	2	2
205	его целом	2	2
206	даже не	3	2
207	полагаем что	3	2
208	это делает	2	2
209	и наконец	4	2
210	с этой	2	2
211	во время	3	2
212	в чем	5	2
213	между собою	2	2
214	по крайней	3	2
215	есть в	2	2
216	в жизни	2	2
217	и так	2	2
218	вообще не	2	2
219	ко всякому	3	2
220	их в	3	2
221	как с	2	2
222	оно не	2	2
223	этом смысле	3	2
224	что мы	2	2
225	отношения к	3	2
226	ту же	2	2
