N	2gram	Tiupa_Anal	SlovoVZh
1	не может	26	16
2	точки зрения	10	14
3	может быть	33	14
4	и его	9	13
5	как бы	15	13
6	и в	30	12
7	таким образом	5	12
8	в нашем	3	11
9	отношению к	9	11
10	по отношению	10	11
11	и не	33	10
12	так как	3	9
13	если бы	6	9
14	прежде всего	8	8
15	сказать что	2	7
16	художественного произведения	6	7
17	при этом	20	6
18	в том	36	6
19	в нем	3	6
20	только в	8	6
21	в процессе	2	6
22	никогда не	4	5
23	как в	3	5
24	что мы	3	5
25	к предмету	4	5
26	в виду	2	5
27	можно сказать	6	5
28	но в	11	5
29	том что	21	5
30	то же	12	5
31	как и	23	5
32	хотя бы	4	5
33	а не	25	5
34	то что	11	5
35	отнюдь не	22	5
36	в самом	12	4
37	в этом	31	4
38	не только	30	4
39	в литературе	4	4
40	на самом	2	4
41	что не	3	4
42	его в	2	4
43	и является	4	4
44	не в	17	4
45	ни было	4	4
46	с другой	7	4
47	все же	4	4
48	к нему	4	4
49	за пределы	6	4
50	и к	5	4
51	так и	16	4
52	и на	10	4
53	уже не	6	4
54	отношение к	2	4
55	как к	2	3
56	в поэзии	2	3
57	по себе	6	3
58	о том	11	3
59	и для	3	3
60	или не	2	3
61	да и	2	3
62	внутренней речи	9	3
63	не к	3	3
64	сколько бы	3	3
65	из этого	2	3
66	ни в	5	3
67	все эти	3	3
68	в котором	5	3
69	бы то	3	3
70	и наконец	2	3
71	то ни	3	3
72	в своей	7	3
73	в себе	17	3
74	художественное произведение	5	3
75	нуждается в	9	3
76	еще не	5	3
77	здесь не	2	3
78	это как	2	3
79	все это	2	3
80	только на	3	3
81	между тем	7	3
82	и с	2	3
83	этой точки	2	3
84	не менее	5	3
85	с ним	6	3
86	в пределах	11	3
87	и по	2	3
88	в такой	2	3
89	в художественном	4	3
90	самом деле	3	3
91	того что	5	3
92	тем не	3	3
93	художественного творчества	2	3
94	и более	5	3
95	но и	29	3
96	для него	5	3
97	едва ли	4	2
98	одно и	2	2
99	автором и	2	2
100	и то	4	2
101	тем как	2	2
102	в его	15	2
103	данном случае	3	2
104	к его	3	2
105	имеет место	6	2
106	что в	7	2
107	не так	3	2
108	в отношении	2	2
109	не есть	8	2
110	в психике	2	2
111	как уже	5	2
112	выходят за	2	2
113	место в	3	2
114	ничего не	10	2
115	речи в	3	2
116	с его	3	2
117	и те	2	2
118	что и	5	2
119	это не	7	2
120	более того	4	2
121	и все	5	2
122	истории литературы	4	2
123	с точки	6	2
124	тому же	6	2
125	в своем	2	2
126	на все	2	2
127	дело с	5	2
128	выбор слова	3	2
129	но отнюдь	2	2
130	бы не	3	2
131	все они	2	2
132	в данном	6	2
133	его к	3	2
134	но мы	2	2
135	жизнью и	2	2
136	с другими	4	2
137	независимо от	2	2
138	ко всем	2	2
139	высказывания и	3	2
140	о ком	2	2
141	не остается	2	2
142	мы имеем	9	2
143	и что	2	2
144	на примере	3	2
145	в то	10	2
146	себя и	5	2
147	те же	3	2
148	по природе	4	2
149	смысл и	3	2
150	с этой	2	2
151	в этих	3	2
152	одной стороны	6	2
153	он не	4	2
154	в какой	3	2
155	такой же	3	2
156	и потому	2	2
157	его как	3	2
158	но не	13	2
159	как это	5	2
160	на это	2	2
161	автора и	4	2
162	в себя	8	2
163	была бы	4	2
164	могут быть	12	2
165	совпадает с	6	2
166	в чем	2	2
167	между собой	2	2
168	нет ничего	2	2
169	с одной	7	2
170	к этому	2	2
171	же самое	3	2
172	тогда когда	3	2
173	и слово	2	2
174	и та	2	2
175	другой стороны	2	2
176	вместе с	6	2
177	на него	3	2
